monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_core_0_percent,cpu_core_1_percent,cpu_core_2_percent,cpu_core_3_percent,cpu_core_4_percent,cpu_core_5_percent
4038764907536,1779707255,222657691,100.000,0.000,100.000,0.000,0.000,0.000
4038784907039,1779707255,242655563,0.000,50.000,0.000,0.000,0.000,0.000
4038804907247,1779707255,262655066,0.000,0.000,0.000,0.000,0.000,0.000
4038824905759,1779707255,282653354,0.000,50.000,0.000,0.000,100.000,0.000
4038844906223,1779707255,302653786,0.000,0.000,0.000,0.000,0.000,0.000
4038864907007,1779707255,322654506,0.000,0.000,0.000,0.000,50.000,0.000
4038884905679,1779707255,342653274,0.000,0.000,0.000,0.000,0.000,0.000
4038904907967,1779707255,362655626,0.000,0.000,0.000,0.000,0.000,0.000
4038924904015,1779707255,382651354,0.000,0.000,0.000,0.000,0.000,0.000
4038944908991,1779707255,402656714,0.000,0.000,50.000,0.000,0.000,0.000
4038964907182,1779707255,422655001,0.000,0.000,0.000,0.000,100.000,0.000
4038984907966,1779707255,442655465,0.000,0.000,66.667,0.000,0.000,0.000
4039004907662,1779707255,462656921,0.000,0.000,0.000,0.000,0.000,0.000
4039024905310,1779707255,482653193,0.000,50.000,50.000,0.000,0.000,0.000
4039044904654,1779707255,502652153,0.000,0.000,0.000,0.000,0.000,0.000
4039064905694,1779707255,522653193,0.000,0.000,66.667,0.000,0.000,0.000
4039084906318,1779707255,542653689,0.000,0.000,0.000,0.000,0.000,0.000
4039104905981,1779707255,562653577,0.000,0.000,0.000,0.000,0.000,0.000
4039125063346,1779707255,582815005,0.000,50.000,50.000,0.000,0.000,100.000
4039144910621,1779707255,602659368,50.000,100.000,66.667,0.000,50.000,0.000
4039375920515,1779707255,833673551,50.000,100.000,66.667,0.000,50.000,0.000
4039384910076,1779707255,842660647,0.000,100.000,0.000,0.000,100.000,0.000
4039404906540,1779707255,862656855,100.000,100.000,50.000,50.000,50.000,0.000
4039425005759,1779707255,882760234,50.000,100.000,50.000,0.000,0.000,0.000
4039444909227,1779707255,902659895,50.000,100.000,50.000,0.000,0.000,0.000
