monotonic_time_ns,ros_time_sec,ros_time_nsec,node_name,pid,cache_references,cache_misses,cache_reference_delta,cache_miss_delta,cache_miss_rate_percent,cache_hit_rate_percent,counters_valid
4762771866851,1781364883,111710475,map_server,30574,0,0,0,0,0.000000,-1.000000,true
4762771866851,1781364883,111710475,odom_fused,30477,3026700,61180,0,0,0.000000,-1.000000,true
4762771866851,1781364883,111710475,performance_monitor,30485,4215166,136432,1628548,69610,4.274360,95.725640,true
4762771866851,1781364883,111710475,pipeline_latency_monitor,30483,6619945,205208,3183531,112643,3.538304,96.461696,true
4762771866851,1781364883,111710475,scan_splitter_node,30590,0,0,0,0,0.000000,-1.000000,true
4762771866851,1781364883,111710475,static_baselink_to_imu,30631,0,0,0,0,0.000000,-1.000000,true
4762771866851,1781364883,111710475,static_baselink_to_laser,30612,0,0,0,0,0.000000,-1.000000,true
4762771866851,1781364883,111710475,system_monitor,30584,0,0,0,0,0.000000,-1.000000,true
4762771866851,1781364883,111710475,vesc_driver_node,30578,0,0,0,0,0.000000,-1.000000,true
4762771866851,1781364883,111710475,vesc_to_odom_node,30580,0,0,0,0,0.000000,-1.000000,true
4762971866257,1781364883,305789471,ackermann_mux,30586,0,0,0,0,0.000000,-1.000000,true
4762971866257,1781364883,305789471,ackermann_to_vesc_node,30582,0,0,0,0,0.000000,-1.000000,true
4762971866257,1781364883,305789471,ekf_localization,30481,2614865,61706,0,0,0.000000,-1.000000,true
4762971866257,1781364883,305789471,gpu_amcl_cpp,30479,29675334,744536,366298,15708,4.288312,95.711688,true
4762971866257,1781364883,305789471,hokuyo_scip_driver,30588,0,0,0,0,0.000000,-1.000000,true
4762971866257,1781364883,305789471,lifecycle_manager_map,30576,7995,1273,7995,1273,15.922452,84.077548,true
4762971866257,1781364883,305789471,map_server,30574,0,0,0,0,0.000000,-1.000000,true
4762971866257,1781364883,305789471,odom_fused,30477,3026700,61180,0,0,0.000000,-1.000000,true
4762971866257,1781364883,305789471,performance_monitor,30485,4215166,136432,0,0,0.000000,-1.000000,true
4762971866257,1781364883,305789471,pipeline_latency_monitor,30483,6961711,217784,341766,12576,3.679711,96.320289,true
4762971866257,1781364883,305789471,scan_splitter_node,30590,0,0,0,0,0.000000,-1.000000,true
4762971866257,1781364883,305789471,static_baselink_to_imu,30631,0,0,0,0,0.000000,-1.000000,true
4762971866257,1781364883,305789471,static_baselink_to_laser,30612,0,0,0,0,0.000000,-1.000000,true
4762971866257,1781364883,305789471,system_monitor,30584,2377126,45984,2377126,45984,1.934437,98.065563,true
4762971866257,1781364883,305789471,vesc_driver_node,30578,1853139,73460,1853139,73460,3.964085,96.035915,true
4762971866257,1781364883,305789471,vesc_to_odom_node,30580,0,0,0,0,0.000000,-1.000000,true
4763171867999,1781364883,505788941,ackermann_mux,30586,0,0,0,0,0.000000,-1.000000,true
4763171867999,1781364883,505788941,ackermann_to_vesc_node,30582,0,0,0,0,0.000000,-1.000000,true
4763171867999,1781364883,505788941,ekf_localization,30481,2614865,61706,0,0,0.000000,-1.000000,true
4763171867999,1781364883,505788941,gpu_amcl_cpp,30479,30083280,761881,407946,17345,4.251788,95.748212,true
4763171867999,1781364883,505788941,hokuyo_scip_driver,30588,0,0,0,0,0.000000,-1.000000,true
4763171867999,1781364883,505788941,lifecycle_manager_map,30576,13509,2202,5514,929,16.848023,83.151977,true
4763171867999,1781364883,505788941,map_server,30574,0,0,0,0,0.000000,-1.000000,true
4763171867999,1781364883,505788941,odom_fused,30477,3026700,61180,0,0,0.000000,-1.000000,true
4763171867999,1781364883,505788941,performance_monitor,30485,4215166,136432,0,0,0.000000,-1.000000,true
4763171867999,1781364883,505788941,pipeline_latency_monitor,30483,7346015,231624,384304,13840,3.601316,96.398684,true
4763171867999,1781364883,505788941,scan_splitter_node,30590,0,0,0,0,0.000000,-1.000000,true
4763171867999,1781364883,505788941,static_baselink_to_imu,30631,0,0,0,0,0.000000,-1.000000,true
4763171867999,1781364883,505788941,static_baselink_to_laser,30612,0,0,0,0,0.000000,-1.000000,true
4763171867999,1781364883,505788941,system_monitor,30584,4719750,91233,2342624,45249,1.931552,98.068448,true
4763171867999,1781364883,505788941,vesc_driver_node,30578,3735191,147091,1882052,73631,3.912272,96.087728,true
4763171867999,1781364883,505788941,vesc_to_odom_node,30580,0,0,0,0,0.000000,-1.000000,true
4763371865453,1781364883,705791739,ackermann_mux,30586,235127,6650,235127,6650,2.828259,97.171741,true
4763371865453,1781364883,705791739,ackermann_to_vesc_node,30582,1223692,55259,1223692,55259,4.515761,95.484239,true
4763371865453,1781364883,705791739,ekf_localization,30481,3297294,79351,682429,17645,2.585617,97.414383,true
4763371865453,1781364883,705791739,gpu_amcl_cpp,30479,45059244,860770,14975964,98889,0.660318,99.339682,true
4763371865453,1781364883,705791739,hokuyo_scip_driver,30588,425443,8469,425443,8469,1.990631,98.009369,true
4763371865453,1781364883,705791739,lifecycle_manager_map,30576,2377319,63850,2363810,61648,2.607993,97.392007,true
4763371865453,1781364883,705791739,map_server,30574,183526873,358501,183526873,358501,0.195340,99.804660,true
4763371865453,1781364883,705791739,odom_fused,30477,3679936,80985,653236,19805,3.031829,96.968171,true
4763371865453,1781364883,705791739,performance_monitor,30485,4641441,144330,426275,7898,1.852795,98.147205,true
4763371865453,1781364883,705791739,pipeline_latency_monitor,30483,8503790,261574,1157775,29950,2.586858,97.413142,true
4763371865453,1781364883,705791739,scan_splitter_node,30590,0,0,0,0,0.000000,-1.000000,true
4763371865453,1781364883,705791739,static_baselink_to_imu,30631,324946,5711,324946,5711,1.757523,98.242477,true
4763371865453,1781364883,705791739,static_baselink_to_laser,30612,412320,7490,412320,7490,1.816550,98.183450,true
4763371865453,1781364883,705791739,system_monitor,30584,23232870,486699,18513120,395466,2.136139,97.863861,true
4763371865453,1781364883,705791739,vesc_driver_node,30578,5702051,223672,1966860,76581,3.893566,96.106434,true
4763371865453,1781364883,705791739,vesc_to_odom_node,30580,2775447,159485,2775447,159485,5.746282,94.253718,true
4763571872219,1781364883,905794473,ackermann_mux,30586,1612759,27852,1377632,21202,1.539018,98.460982,true
4763571872219,1781364883,905794473,ackermann_to_vesc_node,30582,4824554,242186,3600862,186927,5.191174,94.808826,true
4763571872219,1781364883,905794473,ekf_localization,30481,7289862,181509,3992568,102158,2.558704,97.441296,true
