label,phase,raceline,score,tracker_score,fastest_score,promotable,promotable_deficit,promotable_reason,passed,failed,failed_non_speed,scenario_count,scenario_failures,recovery_failures,main_failed,lap_time_est,completed_laps,progress_m,avg_progress_mps,max_steer_change,steer_reversals,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,solver_optimal_rate,solver_max_iter_rate,avg_lap_time,status,return_code,scenario_race_status,scenario_race_lap_time_est,scenario_race_avg_progress_mps,scenario_race_avg_lat_err,scenario_race_avg_vx,scenario_race_wall_collisions,scenario_race_failed_non_speed,scenario_race_speed_check_pass,Q_LAT,Q_HDG,Q_VEL,Q_LAT_VEL,Q_YAW,R_STEER,R_ACCEL,W_JERK,W_ACCEL_RATE,RHO,RHO_U,TOL,MAX_ITER,HORIZON,PRED_DT
L=9000+H=3000+V=53+N=10+dt=0.036,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.1026,0.0,1.0961,1.096,0.0568,0.0568,0.03,0.0,4.4993,4.4994,596.4,13468.5,0,0.0,2.5,0.994667,0.005333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,9000,3000,53,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.036
L=9000+H=3000+V=56+N=10+dt=0.032,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.0493,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0028,0.0002,0.0912,0.0,1.0961,1.0958,0.0568,0.0566,0.14,0.0002,4.4991,4.4994,558.5,11386.7,0,0.0,2.5,0.995,0.005,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0002,1.0958,0.0002,0,1,0,9000,3000,56,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
L=9000+H=3000+V=56+N=10+dt=0.034,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.04995,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0003,0.0,0.0969,0.0,1.0961,1.096,0.0568,0.0568,0.07,0.0001,4.4993,4.4994,618.0,10899.3,0,0.0,2.7,0.994667,0.005333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.096,0.0001,0,1,0,9000,3000,56,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.034
L=9000+H=3000+V=56+N=10+dt=0.036,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.1026,0.0,1.0961,1.096,0.0568,0.0568,0.04,0.0,4.4993,4.4994,527.3,10905.0,0,0.0,2.3,0.994667,0.005333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,9000,3000,56,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.036
L=9000+H=3400+V=42+N=10+dt=0.032,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.0912,0.0,1.0961,1.096,0.0568,0.0568,0.03,0.0,4.4993,4.4994,415.3,10799.5,0,0.0,1.8,0.994667,0.005333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,9000,3400,42,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
L=9000+H=3400+V=42+N=10+dt=0.034,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.0969,0.0,1.0961,1.0961,0.0568,0.0568,0.0,0.0,4.4994,4.4994,636.9,12822.4,0,0.0,2.8,0.994,0.006,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.0961,0.0,0,1,0,9000,3400,42,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.034
L=9000+H=3400+V=42+N=10+dt=0.036,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.1026,0.0,1.0961,1.0961,0.0568,0.0568,0.0,0.0,4.4994,4.4994,711.8,14370.3,0,0.0,3.1,0.989667,0.010333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.0961,0.0,0,1,0,9000,3400,42,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.036
L=9000+H=3400+V=45+N=10+dt=0.032,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.0912,0.0,1.0961,1.096,0.0568,0.0568,0.05,0.0,4.4993,4.4994,502.9,11581.1,0,0.0,2.1,0.994667,0.005333,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,9000,3400,45,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
L=9000+H=3400+V=45+N=10+dt=0.034,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.0969,0.0,1.0961,1.096,0.0568,0.0568,0.02,0.0,4.4993,4.4994,497.2,11517.3,0,0.0,2.1,0.994,0.006,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,9000,3400,45,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.034
L=9000+H=3400+V=45+N=10+dt=0.036,Phase 2: Primary grid (Q_LAT x Q_HDG x Q_VEL x HORIZON x PRED_DT),my_track,5000.0,5000.0,5000.0,0,2.05,status_not_ok|scenario_failure|race_not_ok|race_progress_low|overall_progress_low|avg_vx_low,4,2,1,1,1,0,1,999.0,0,0.0,0.0,0.1026,0.0,1.0961,1.0961,0.0568,0.0568,0.0,0.0,4.4994,4.4994,661.0,12311.6,0,0.0,3.0,0.989333,0.010667,0.0,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.0961,0.0,0,1,0,9000,3400,45,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.036
