label,phase,raceline,score,tracker_score,fastest_score,promotable,promotable_deficit,promotable_reason,passed,failed,failed_non_speed,scenario_count,scenario_failures,recovery_failures,main_failed,lap_time_est,completed_laps,progress_m,avg_progress_mps,max_steer_change,steer_reversals,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,solver_optimal_rate,solver_max_iter_rate,avg_lap_time,status,return_code,scenario_race_status,scenario_race_lap_time_est,scenario_race_avg_progress_mps,scenario_race_avg_lat_err,scenario_race_avg_vx,scenario_race_wall_collisions,scenario_race_failed_non_speed,scenario_race_speed_check_pass,scenario_avoid_single_status,scenario_avoid_single_lap_time_est,scenario_avoid_single_avg_progress_mps,scenario_avoid_single_avg_lat_err,scenario_avoid_single_avg_vx,scenario_avoid_single_wall_collisions,scenario_avoid_single_failed_non_speed,scenario_avoid_single_speed_check_pass,scenario_avoid_double_status,scenario_avoid_double_lap_time_est,scenario_avoid_double_avg_progress_mps,scenario_avoid_double_avg_lat_err,scenario_avoid_double_avg_vx,scenario_avoid_double_wall_collisions,scenario_avoid_double_failed_non_speed,scenario_avoid_double_speed_check_pass,Q_LAT,Q_HDG,Q_VEL,Q_LAT_VEL,Q_YAW,R_STEER,R_ACCEL,W_JERK,W_ACCEL_RATE,RHO,RHO_U,TOL,MAX_ITER,HORIZON,PRED_DT
Q_LAT_VEL=3.8,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,0.0,status_not_ok|scenario_failure|race_not_ok|solver_maxiter_rate_high,14,4,1,3,1,0,1,13.36375,16,118.1739,1.817425,0.1966,8.75,1.0961,0.33665,0.5634,0.075725,4.57,1.7858,1.898075,4.4994,2264.95,53588.5,0,0.0,3.6999999999999997,0.9828,0.0172,13.36375,EXIT_FAIL,1,EXIT_FAIL,17.995,1.2172,0.5835,1.2325,0,1,0,OK,8.6992,2.4309,0.0841,2.3817,0,0,0,OK,8.7658,2.4044,0.0955,2.2965,0,0,0,12000.0,3600.0,50.0,3.8,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_YAW=2.7,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0996,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.86355,12,72.5459,1.2090750000000001,0.1966,10.25,1.0961,0.5918000000000001,0.5668,0.07567499999999999,4.54,1.16965,2.7799750000000003,4.4994,2156.925,69138.1,0,0.0,3.475,0.98761275,0.012387249999999999,8.7271,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0002,1.0939,0.0002,0,1,0,OK,8.7075,2.4275,0.0845,2.3783,0,0,0,OK,8.7467,2.4084,0.0949,2.2999,0,0,0,12000.0,3600.0,50.0,4.59,2.7,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_VEL=53,Phase 1: One-at-a-time sensitivity,my_track,1200.0,1300.0,1200.0,0,0.0,solver_maxiter_rate_high,15,3,0,3,0,0,0,11.028425,19,135.35325,2.0514,0.1966,9.75,1.0961,0.2458,0.5654,0.075875,4.57,2.020875,1.573925,4.4994,2388.2,65371.8,0,0.0,3.9,0.9811084999999999,0.0188915,11.028425,OK,1,OK,13.534,1.6357,0.409,1.6521,0,0,0,OK,8.4921,2.4766,0.0758,2.4282,0,0,0,OK,8.5536,2.4576,0.0894,2.3511,0,0,0,12000.0,3600.0,53,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_VEL=56,Phase 1: One-at-a-time sensitivity,my_track,1200.0,1300.0,1200.0,0,0.0,solver_maxiter_rate_high,15,3,0,3,0,0,0,10.2284,20,141.3581,2.133675,0.1966,11.25,1.0961,0.219825,0.568,0.075875,4.65,2.104375,1.475475,4.4994,2381.65,46445.0,0,0.0,3.9,0.980446,0.019554000000000002,10.2284,OK,1,OK,12.0025,1.7782,0.358,1.7963,0,0,0,OK,8.4336,2.4957,0.0761,2.4483,0,0,0,OK,8.475,2.4826,0.0872,2.3766,0,0,0,12000.0,3600.0,56,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
R_STEER=2.0,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,0.0,status_not_ok|scenario_failure|race_not_ok|solver_maxiter_rate_high,14,4,1,3,1,0,1,13.699775,16,115.241625,1.779925,0.1966,8.0,1.0961,0.35567499999999996,0.5689,0.0755,4.55,1.747175,1.962,4.4994,2246.825,52006.4,0,0.0,3.6999999999999997,0.9830332500000001,0.01696675,13.699775,EXIT_FAIL,1,EXIT_FAIL,18.7112,1.1265,0.6244,1.1406,0,1,0,OK,8.6825,2.435,0.0833,2.3846,0,0,0,OK,8.6942,2.4317,0.0906,2.3229,0,0,0,12000.0,3600.0,50.0,4.59,2.112,2.0,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
R_STEER=2.2,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0996,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.8748,12,72.31405,1.2052,0.1966,9.5,1.0961,0.5921500000000001,0.5617,0.07555,4.58,1.166075,2.7815250000000002,4.4994,2188.875,36019.9,0,0.0,3.6,0.98767925,0.01232075,8.749600000000001,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0002,1.0941,0.0002,0,1,0,OK,8.7125,2.4269,0.0848,2.3779,0,0,0,OK,8.7867,2.3935,0.0956,2.286,0,0,0,12000.0,3600.0,50.0,4.59,2.112,2.2,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
R_STEER=1.8,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0986,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.85145,12,72.87465,1.214525,0.1966,8.0,1.0961,0.59005,0.5616,0.07905000000000001,4.57,1.1745,2.7765,4.4994,2244.475,45353.5,0,0.0,3.7,0.98769175,0.01230825,8.7029,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0007,1.0909,0.0007,0,1,0,OK,8.6625,2.4442,0.0823,2.3932,0,0,0,OK,8.7433,2.4125,0.0961,2.3034,0,0,0,12000.0,3600.0,50.0,4.59,2.112,1.8,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_YAW=1.8,Phase 1: One-at-a-time sensitivity,my_track,1200.0,1300.0,1200.0,0,0.0,solver_maxiter_rate_high,15,3,0,3,0,0,0,11.40145,17,130.52815,1.982375,0.1966,9.25,1.0961,0.26605,0.5774,0.076925,4.56,1.9500250000000001,1.6565,4.4994,2375.425,60902.1,0,0.0,3.9,0.980858,0.019142,11.40145,OK,1,OK,14.08,1.5447,0.4419,1.5591,0,0,0,OK,8.7025,2.43,0.0846,2.3803,0,0,0,OK,8.7433,2.4101,0.0958,2.3016,0,0,0,12000.0,3600.0,50.0,4.59,1.8,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
R_STEER=2.4,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0986,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.870625,12,72.354625,1.2058499999999999,0.1966,11.0,1.0961,0.5915,0.5631,0.076875,4.56,1.16655,2.7815,4.4994,2097.825,56405.6,0,0.0,3.375,0.9882252499999999,0.01177475,8.74125,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0007,1.0924,0.0005,0,1,0,OK,8.725,2.4208,0.0858,2.372,0,0,0,OK,8.7575,2.4012,0.0954,2.2932,0,0,0,12000.0,3600.0,50.0,4.59,2.112,2.4,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
R_STEER=2.6,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0986,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.88145,12,72.062725,1.200975,0.1966,8.25,1.0961,0.592575,0.5693,0.0769,4.55,1.1621,2.784925,4.4994,2115.025,69856.8,0,0.0,3.4,0.9879415,0.0120585,8.762899999999998,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0007,1.0929,0.0005,0,1,0,OK,8.7275,2.4183,0.086,2.3697,0,0,0,OK,8.7983,2.3842,0.0985,2.2777,0,0,0,12000.0,3600.0,50.0,4.59,2.112,2.6,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
R_STEER=2.8,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0994,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.895225,12,71.629675,1.193775,0.1966,8.0,1.0961,0.5932,0.5742,0.07735,4.54,1.155325,2.788475,4.4994,2145.225,55663.7,0,0.0,3.475,0.98843775,0.01156225,8.79045,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0003,1.0931,0.0003,0,1,0,OK,8.7892,2.391,0.0914,2.3434,0,0,0,OK,8.7917,2.3835,0.0952,2.2773,0,0,0,12000.0,3600.0,50.0,4.59,2.112,2.8,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
