idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
7141,1778515529581411588,0,0,4,-6971,1851568,-80394,-8278,1507299,27840,-102303,-5154,1851568
7142,1778515529586362436,0,0,2,-11418,1851568,-80707,-8080,1511394,29457,-111374,-10073,1851568
7143,1778515529591336164,0,0,3,-8108,1851568,-81223,-7150,1515904,31587,-116557,-6010,1851568
7144,1778515529596351269,0,0,2,-12267,1851568,-81493,-7012,1521541,33530,-126145,-10797,1851568
7145,1778515529601415622,0,0,3,-9198,1851568,-82906,-5398,1527594,36039,-133299,-6474,1851568
7146,1778515529606332646,0,0,2,-11732,1851568,-82469,-7592,1532401,38307,-144464,-11515,1851568
7147,1778515529611336294,0,0,3,-7571,1851568,-82866,-6857,1536496,41317,-149635,-5322,1851568
7148,1778515529616341479,0,0,2,-11858,1851568,-83045,-6894,1540946,44100,-157448,-10180,1851568
7149,1778515529621447817,0,0,3,-7974,1851568,-83392,-6218,1546050,47459,-160806,-5318,1851568
7150,1778515529626408969,0,0,2,-11576,1851568,-83337,-7053,1551628,50470,-168224,-9729,1851568
7151,1778515529631458634,0,0,4,-8376,1851568,-84390,-5414,1557028,54051,-171924,-4645,1851568
7152,1778515529636359593,0,0,3,-13392,1851568,-84703,-4810,1561123,57226,-179550,-9869,1851568
7153,1778515529641385610,0,0,3,-9377,1851568,-84763,-4997,1565989,60925,-183085,-5882,1851568
7154,1778515529646415723,0,0,4,-14190,1851568,-85022,-4466,1572161,64387,-189640,-10157,1851568
7155,1778515529651427468,0,0,4,-10370,1792489,-85837,-4100,1579163,68229,-193649,-6517,1851568
7156,1778515529656335243,0,0,2,-13606,1775319,-85425,-5828,1585335,71772,-201407,-10770,1792489
7157,1778515529661331691,0,0,3,-9306,1686458,-85603,-5360,1591031,75905,-204575,-5601,1775319
7158,1778515529666343468,0,0,2,-14201,1665801,-85563,-5673,1596432,79732,-210086,-10785,1686458
7159,1778515529671342444,0,0,3,-10478,1576075,-85693,-5226,1601772,83957,-209694,-6284,1665801
7160,1778515529676341069,0,0,2,-15720,1558125,-85611,-5535,1607410,87693,-212759,-12416,1576075
7161,1778515529681358510,0,0,3,-12604,1469746,-85936,-4424,1612039,91760,-211902,-8166,1558125
7162,1778515529686343246,0,0,3,-18793,1463414,-86028,-3984,1615599,95234,-216096,-15170,1469746
7163,1778515529691344974,0,0,2,-15404,1389806,-86100,-3539,1618804,99024,-216154,-11639,1463414
7164,1778515529696336783,0,0,2,-20613,1394301,-85929,-3867,1622364,102301,-219848,-18271,1389806
7165,1778515529701464657,0,0,2,-17292,1304493,-86310,-3059,1626756,106016,-219372,-14132,1394301
7166,1778515529706344464,0,0,2,-21463,1333787,-85684,-4921,1629663,109043,-223468,-20727,1304493
7167,1778515529711346993,0,0,3,-17175,1256208,-85665,-4489,1632156,112584,-222905,-15255,1333787
7168,1778515529716349137,0,0,2,-22249,1267928,-85433,-4829,1634648,115635,-225964,-21374,1256208
7169,1778515529721485331,0,0,2,-18312,1181459,-85359,-4429,1637319,119159,-223291,-16259,1267928
7170,1778515529726339602,0,0,2,-23651,1189261,-85102,-4725,1639574,121938,-223396,-22590,1181459
7171,1778515529731448692,0,0,2,-26995,1154865,-85425,-2281,1642066,125128,-219190,-25872,1189261
7172,1778515529736371379,0,0,2,-25923,1113065,-85104,-2578,1644262,127500,-220218,-25872,1154865
7173,1778515529741393332,0,0,2,-23613,1034040,-84990,-2070,1645686,130192,-217710,-21564,1113065
7174,1778515529746384660,0,0,2,-29621,1039250,-84858,-1588,1647347,132287,-219968,-28415,1034040
7175,1778515529751431702,0,0,2,-26134,959198,-84346,-1200,1649959,134707,-218162,-24500,1039250
7176,1778515529756339381,0,0,2,-30214,1001722,-83526,-3081,1652570,136552,-219895,-30908,959198
7177,1778515529761414518,0,0,2,-25984,920444,-83308,-2587,1653994,138845,-217641,-25483,1001722
7178,1778515529766409527,0,0,2,-31616,924173,-83084,-2093,1654884,140597,-220072,-31398,920444
7179,1778515529771372055,0,0,2,-27233,857378,-82650,-2369,1656130,142664,-219079,-27068,924173
7180,1778515529776434808,0,0,2,-32483,858564,-82380,-1910,1657139,144355,-222547,-32286,857378
7181,1778515529781427993,0,0,2,-29206,782698,-81743,-1245,1658326,146361,-222718,-28339,858564
7182,1778515529786356216,0,0,2,-34530,788524,-81483,-776,1659394,147937,-227353,-34122,782698
7183,1778515529791354521,0,0,2,-31018,708451,-81196,-344,1659869,149905,-229118,-30245,788524
7184,1778515529796336217,0,0,2,-35718,736464,-80678,-722,1659631,151503,-234606,-36004,708451
7185,1778515529801466235,0,0,2,-32207,655266,-79914,-85,1660462,153595,-235919,-31569,736464
7186,1778515529806342778,0,0,2,-36352,686296,-79177,-1253,1662064,155221,-239490,-37387,655266
7187,1778515529811340474,0,0,2,-31715,622353,-78625,-1661,1662895,157303,-238667,-32265,686296
7188,1778515529816344731,0,0,2,-36630,631803,-78243,-1306,1662302,159002,-240741,-37034,622353
7189,1778515529821408028,0,0,2,-32921,557681,-77835,-987,1661886,161028,-239521,-32768,631803
7190,1778515529826342044,0,0,2,-38042,552392,-77433,-678,1662124,162600,-242808,-37792,557681
7191,1778515529831420541,0,0,3,-34024,487319,-75899,-1218,1662183,164530,-245395,-34140,552392
