idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
12073,1779174395466161680,0,0,3,-64451,743328,21068,-31582,1124065,147387,-458836,-65054,807854
12074,1779174395471155963,0,0,3,-70809,809753,20702,-32298,1123887,147965,-458771,-71827,743328
12075,1779174395476379606,0,0,3,-62408,763689,18193,-33413,1124243,149059,-453011,-64111,809753
12076,1779174395481422212,0,0,3,-66996,832650,18195,-35678,1124718,149614,-449239,-69547,763689
12077,1779174395486374443,0,0,3,-60949,753953,17341,-34535,1124956,150536,-439438,-61943,832650
12078,1779174395491206026,0,0,3,-65919,826419,17328,-36637,1124303,150819,-435075,-68086,753953
12079,1779174395496383810,0,0,3,-59475,767754,16413,-35334,1124065,151503,-429230,-60516,826419
12080,1779174395501453042,0,0,3,-64252,838204,16385,-37517,1124599,151641,-430599,-66585,767754
12081,1779174395506279856,0,0,3,-58834,746190,13365,-33030,1125490,152339,-428357,-57841,838204
12082,1779174395511300188,0,0,3,-65768,824998,12910,-33344,1126795,152446,-437113,-66756,746190
12083,1779174395516368268,0,0,3,-57276,762893,12440,-33647,1128338,153337,-440813,-57796,824998
12084,1779174395521402937,0,0,3,-63815,838489,11968,-33987,1128813,153812,-451500,-65186,762893
12085,1779174395526186996,0,0,3,-53977,803111,9702,-36373,1129050,154988,-454335,-56721,838489
12086,1779174395531288007,0,0,4,-60819,888166,8722,-34795,1129110,155840,-462466,-63379,803111
12087,1779174395536465534,0,0,3,-52465,834710,8234,-35191,1129347,157472,-461879,-54113,888166
12088,1779174395541499436,0,0,3,-58537,911018,7749,-35539,1129584,158579,-464118,-60655,834710
12089,1779174395546163006,0,0,3,-49489,850456,7755,-37669,1130415,160148,-456753,-51871,911018
12090,1779174395551155400,0,0,3,-55997,901386,6779,-35929,1132136,161282,-453764,-57470,850456
12091,1779174395556185717,0,0,3,-49378,825662,4027,-33898,1133916,162829,-443700,-49921,901386
12092,1779174395561221987,0,0,3,-55626,891277,3606,-34144,1134154,163673,-437653,-56704,825662
12093,1779174395566134535,0,0,3,-47196,837856,3663,-36236,1134035,164828,-425891,-48819,891277
12094,1779174395571165492,0,0,3,-53864,903401,2773,-34436,1134510,165347,-421284,-54640,837856
12095,1779174395576161023,0,0,3,-47267,848334,228,-32633,1135519,166202,-413972,-47621,903401
12096,1779174395581149673,0,0,3,-53372,916675,-130,-32821,1136409,166456,-414802,-54273,848334
12097,1779174395586151796,0,0,3,-45648,861502,-477,-33035,1138130,167227,-412831,-46659,916675
12098,1779174395591168352,0,0,3,-51407,925279,-813,-33330,1140088,167552,-418082,-52985,861502
12099,1779174395596229007,0,0,3,-43306,880229,-1144,-33653,1140266,168511,-417882,-44909,925279
12100,1779174395601239867,0,0,3,-48242,957381,-1059,-35767,1140029,169040,-421763,-50890,880229
12101,1779174395606194722,0,0,3,-40535,902964,-3294,-34526,1140622,170167,-418990,-42554,957381
12102,1779174395611236208,0,0,3,-46162,975561,-3590,-34978,1141037,170848,-421860,-48349,902964
12103,1779174395616169398,0,0,4,-38622,931178,-4276,-33753,1141690,172093,-419308,-39955,975561
12104,1779174395621160769,0,0,4,-46122,1011800,-5397,-31112,1143292,172861,-422668,-46466,931178
12105,1779174395626167692,0,0,3,-38458,946202,-7401,-31479,1145963,174168,-419900,-39429,1011800
12106,1779174395631168599,0,0,3,-43616,1002841,-7243,-33583,1147743,174997,-420670,-45592,946202
12107,1779174395636174306,0,0,3,-36168,952494,-7883,-32516,1148218,176371,-414196,-37080,1002841
12108,1779174395641166444,0,0,3,-42641,1029170,-8131,-32996,1149286,177114,-413065,-44152,952494
12109,1779174395646166839,0,0,3,-34420,967437,-8390,-33411,1151244,178382,-405579,-35607,1029170
12110,1779174395651171554,0,0,3,-40828,1032730,-8658,-33791,1152847,179022,-404728,-42451,967437
12111,1779174395656174669,0,0,3,-32287,974311,-11044,-33288,1155042,180201,-400069,-33890,1032730
12112,1779174395661175608,0,0,3,-38178,1036469,-11301,-33663,1157891,180855,-404497,-40388,974311
12113,1779174395666158530,0,0,3,-29314,980370,-11553,-34048,1159552,182181,-405366,-31420,1036469
12114,1779174395671172110,0,0,3,-35133,1066751,-11799,-34509,1159315,183090,-412949,-37632,980370
12115,1779174395676413162,0,0,3,-24180,1054795,-14452,-37065,1159849,184783,-413968,-28955,1066751
12116,1779174395681370098,0,0,3,-29270,1128480,-15113,-36045,1160798,186143,-416271,-32466,1054795
12117,1779174395686189296,0,0,3,-20774,1085005,-15378,-36516,1161570,187998,-410725,-24220,1128480
12118,1779174395691245311,0,0,3,-26083,1135729,-15634,-37092,1163884,189487,-407849,-28820,1085005
12119,1779174395696371603,0,0,3,-17352,1062369,-15886,-37649,1167682,191504,-397228,-20216,1135729
12120,1779174395701474149,0,0,3,-23139,1114161,-16141,-38166,1170115,192864,-391015,-25750,1062369
12121,1779174395706522771,0,0,3,-12436,1075304,-19202,-40096,1171836,194639,-378252,-16713,1114161
12122,1779174395710736869,0,0,3,-17573,1107808,-19156,-41658,1174091,195608,-370564,-21134,1075304
12123,1779174395716170159,0,0,3,-8813,1048355,-19804,-40608,1177058,197336,-357343,-11763,1107808
12124,1779174395721182523,0,0,3,-15903,1115398,-20486,-39332,1179907,198162,-351561,-18529,1048355
12125,1779174395726193703,0,0,3,-4637,1065171,-23683,-41321,1183645,199514,-340325,-8737,1115398
12126,1779174395731337372,0,0,3,-10218,1110826,-24037,-41472,1186850,200285,-336525,-13850,1065171
12127,1779174395736475121,0,0,3,-631,1059493,-24382,-41573,1188096,201621,-328210,-3966,1110826
12128,1779174395741545825,0,0,3,-6989,1131129,-24731,-41608,1187859,202304,-327936,-9889,1059493
12129,1779174395746171440,0,0,3,2829,1079169,-24686,-43103,1187681,203488,-323283,-219,1131129
12130,1779174395751159898,0,0,3,-3689,1159951,-25405,-41459,1188393,204228,-324712,-6342,1079169
12131,1779174395756203144,0,0,3,9499,1156462,-28906,-46268,1189639,205631,-319998,3167,1159951
12132,1779174395761195891,0,0,3,5340,1221122,-29780,-44521,1190885,206703,-317661,454,1156462
12133,1779174395766175100,0,0,3,14383,1162771,-29778,-46059,1192309,208310,-308806,9720,1221122
12134,1779174395771203113,0,0,3,8831,1220877,-30615,-44230,1193912,209441,-302938,5925,1162771
12135,1779174395776255384,0,0,3,19710,1175587,-33393,-47655,1195870,210987,-290030,14323,1220877
12136,1779174395781225472,0,0,3,15128,1215525,-34264,-45716,1198006,211988,-278851,11351,1175587
12137,1779174395786185384,0,0,3,23509,1139427,-34271,-47021,1201211,213284,-262993,19776,1215525
12138,1779174395791198804,0,0,3,17842,1166080,-35080,-45046,1205780,213944,-254484,15514,1139427
12139,1779174395796242434,0,0,3,25850,1114570,-35875,-43083,1210705,214973,-244227,23539,1166080
12140,1779174395801170536,0,0,3,20190,1123142,-35821,-44291,1215037,215382,-245139,17919,1114570
12141,1779174395806204053,0,0,3,30869,1059453,-38393,-46991,1218123,216424,-243056,26633,1123142
12142,1779174395811214273,0,0,3,25826,1103914,-39161,-45168,1220082,217116,-248318,22398,1059453
12143,1779174395816262895,0,0,3,34446,1067380,-39901,-43445,1221743,218539,-247099,31373,1103914
12144,1779174395821596754,0,0,3,28982,1103175,-40199,-43356,1223286,219610,-246444,26139,1067380
12145,1779174395826176478,0,0,3,39093,1061059,-42746,-44386,1224770,221044,-240363,35065,1103175
12146,1779174395831199947,0,0,3,34119,1076812,-42698,-45554,1226609,222165,-232336,30862,1061059
12147,1779174395836214519,0,0,3,42201,1020829,-43344,-43988,1228627,223659,-216054,39586,1076812
12148,1779174395841170910,0,0,3,36327,1043620,-43278,-44998,1229458,224351,-203931,34130,1020829
12149,1779174395846180554,0,0,4,43923,984283,-43833,-43455,1230348,225295,-184272,42366,1043620
12150,1779174395851208247,0,0,3,37554,1004924,-43748,-44302,1231475,225336,-168534,36202,984283
12151,1779174395856253221,0,0,4,46479,949195,-46567,-43573,1232603,225530,-145643,44030,1004924
12152,1779174395861187563,0,0,3,40709,962147,-46487,-44200,1233671,224853,-126963,39090,949195
12153,1779174395866200567,0,0,4,47497,887367,-46976,-42665,1235926,224239,-103692,46391,962147
12154,1779174395871207682,0,0,3,41161,886281,-46886,-43093,1238952,222707,-85458,40463,887367
12155,1779174395876359800,0,0,4,47583,801267,-48581,-40927,1241148,221210,-61451,47312,886281
12156,1779174395881478251,0,0,3,40853,815966,-48466,-41132,1242157,218740,-40062,40895,801267
12157,1779174395886510841,0,0,3,46663,750553,-48602,-40290,1243225,216292,-13550,47177,815966
12158,1779174395891137288,0,0,4,39843,752512,-48724,-39411,1244649,213099,5716,40371,750553
12159,1779174395896269661,0,0,4,45236,681746,-48824,-38424,1246548,209586,29721,46245,752512
12160,1779174395901420531,0,0,4,38484,675699,-48908,-37398,1248863,205098,44611,39270,681746
12161,1779174395907231576,0,0,3,43614,602559,-50475,-35454,1251177,200210,65677,44848,675699
