idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
7159,1779177385563394853,0,0,1,-102236,393468,45908,80858,803260,-25155,-495963,-102236,492874
7160,1779177385568410425,0,0,1,-102236,223095,46478,80518,816671,-22651,-501892,-102236,393468
7161,1779177385573310826,0,0,1,-102236,8544,47025,80245,829489,-20120,-506443,-102236,223095
7162,1779177385578324062,0,0,1,-102236,-76151,48170,77686,826344,-17593,-510424,-102236,8544
7163,1779177385583317329,0,0,1,-102236,-36699,47183,78603,812992,-15235,-512243,-102236,-76151
7164,1779177385588276228,0,0,1,-102236,116683,48273,76053,798987,-13086,-514212,-102236,-36699
7165,1779177385593332953,0,0,1,-102236,299851,48760,75649,782549,-11106,-520410,-102236,116683
7166,1779177385598310316,0,0,1,-102236,466875,49193,75248,768485,-9276,-530687,-102236,299851
7167,1779177385603396353,0,0,1,-102236,586206,49194,73501,762610,-7387,-545085,-102236,466875
7168,1779177385608238481,0,0,1,-102236,616923,50178,70785,766824,-5425,-560775,-102236,586206
7169,1779177385613314278,0,0,1,-102236,551760,50627,70086,775844,-3129,-577403,-102236,616923
7170,1779177385618350939,0,0,1,-102236,418545,51067,69376,788780,-565,-587853,-102236,551760
7171,1779177385623346574,0,0,1,-102236,253002,52107,66434,804743,2194,-589047,-102236,418545
7172,1779177385628356450,0,0,1,-102236,98315,52559,65783,811509,4928,-581726,-102236,253002
7173,1779177385633371926,0,0,1,-102236,105802,52390,63978,801776,7317,-568332,-102236,98315
7174,1779177385638364233,0,0,1,-102236,166839,52785,63471,791154,9259,-553649,-102236,105802
7175,1779177385643338716,0,0,1,-102236,237818,53155,63012,782727,10785,-542715,-102236,166839
7176,1779177385648346896,0,0,1,-102236,330314,54120,60315,776200,12012,-538534,-102236,237818
7177,1779177385653356452,0,0,1,-102236,381203,53652,61015,772105,13073,-541349,-102236,330314
