idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
23106,1779178009551474205,0,0,2,22403,927484,-8077,-2393,1419532,-161101,351375,23686,1033655
23107,1779178009556529780,0,0,3,21174,886820,-8834,-1137,1419769,-165120,345995,22369,927484
23108,1779178009561507882,0,0,6,20004,833982,-9449,-405,1419176,-168899,340118,21160,886820
23109,1779178009566522368,0,0,2,18898,798619,-10185,792,1419235,-172523,333685,19995,833982
23110,1779178009571525366,0,0,2,17501,768553,-10910,1967,1419235,-172523,333685,18890,798619
23111,1779178009576520492,0,0,2,17652,709093,-11940,1635,1420956,-179198,322907,17675,768553
23112,1779178009581517602,0,0,3,17014,645034,-12555,2333,1421490,-182260,321118,17419,709093
23113,1779178009586515768,0,0,5,15735,586015,-13154,3037,1421134,-185222,321850,16942,645034
23114,1779178009591550895,0,0,2,14192,590952,-13996,4670,1419947,-188138,324404,15729,586015
23115,1779178009596753319,0,0,4,12228,524346,-14375,5369,1419947,-188138,324404,14191,590952
23116,1779178009601512283,0,0,2,10683,523319,-15141,6918,1419235,-194230,325401,12352,524346
23117,1779178009606511761,0,0,2,9260,482163,-15809,8080,1419828,-197398,323093,10714,523319
23118,1779178009611533608,0,0,2,7651,406029,-16357,8798,1420184,-200534,319821,9261,482163
23119,1779178009616508797,0,0,2,5976,363017,-17004,9938,1419413,-203568,315699,7651,406029
23120,1779178009621519060,0,0,2,4141,330560,-17640,11040,1417455,-206539,310377,5733,363017
23121,1779178009626544650,0,0,2,1655,296087,-17889,13074,1417455,-206539,310377,4035,330560
23122,1779178009631563040,0,0,7,-677,218352,-18356,13676,1415852,-209392,303717,1566,296087
23123,1779178009636522006,0,0,5,-2170,161888,-18927,14670,1415140,-214696,284617,-788,218352
23124,1779178009641610349,0,0,3,-3379,114774,-19503,15646,1414488,-217067,274254,-2387,161888
23125,1779178009646491746,0,0,4,-5698,38702,-19457,16923,1414488,-217067,274254,-3404,114774
23126,1779178009651563289,0,0,3,-7314,38287,-20096,18235,1411698,-220957,258571,-5352,38702
23127,1779178009656459278,0,0,3,-8765,-3548,-20589,19064,1410393,-222661,252450,-7304,38287
23128,1779178009661460516,0,0,3,-10301,-81696,-20988,19511,1408672,-224270,245938,-8760,-3548
23129,1779178009666463899,0,0,3,-11964,-107310,-21482,20320,1404933,-225729,237738,-10302,-81696
23130,1779178009671468721,0,0,4,-13301,-132744,-21964,21068,1400364,-226997,226961,-11963,-107310
23131,1779178009676679273,0,0,3,-15358,-179570,-21660,22357,1400364,-226997,226961,-13302,-132744
23132,1779178009681453853,0,0,3,-17103,-242032,-22000,22609,1393718,-228010,213266,-15278,-179570
23133,1779178009686449811,0,0,3,-17304,-160624,-22451,23181,1372829,-228822,182053,-16723,-242032
23134,1779178009691444841,0,0,3,-17167,-148171,-22703,24608,1358053,-227792,154391,-16976,-160624
23135,1779178009696537472,0,0,2,-17594,-191997,-23132,25107,1358053,-227792,154391,-16976,-148171
23136,1779178009701679896,0,0,8,-19150,-329494,-23481,25292,1362682,-226794,143343,-17780,-191997
23137,1779178009706546989,0,0,5,-20669,-374245,-23926,25944,1365352,-225722,133955,-19137,-329494
23138,1779178009711467298,0,0,4,-21914,-437187,-24301,26315,1364996,-224519,124930,-20667,-374245
23139,1779178009716463384,0,0,4,-23708,-532545,-24616,26417,1362860,-223200,115147,-22527,-437187
23140,1779178009721475503,0,0,4,-25027,-619348,-24930,26517,1358884,-221724,104637,-24004,-532545
23141,1779178009727027819,0,0,5,-26510,-681956,-24286,27651,1356807,-219887,92161,-25047,-619348
23142,1779178009731479355,0,0,4,-27400,-696067,-24613,28018,1355857,-218249,82256,-26536,-681956
23143,1779178009736466577,0,0,3,-28245,-841384,-24828,27853,1353780,-216240,69559,-27367,-696067
23144,1779178009741462791,0,0,3,-28819,-901990,-25130,27980,1351881,-213995,55255,-28239,-841384
23145,1779178009746493182,0,0,2,-29184,-965736,-24831,28089,1350694,-211452,38385,-28835,-901990
23146,1779178009751467699,0,0,1,-28855,-969566,-25144,28185,1348617,-208578,19408,-29186,-965736
