idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
17865,1779177983341249511,1,1,50,79840,1851488,-16807,-87297,485303,10522,581368,102236,1851488,0.3045654,7.0628662,0
17866,1779177983346267134,1,1,50,79840,1851488,-17543,-84387,486490,10334,580026,102236,1851488,0.3045654,7.0628662,0
17867,1779177983351248564,1,1,50,79840,1851488,-16909,-86879,487914,10165,578464,102236,1851488,0.3045654,7.0628662,0
17868,1779177983356259723,1,1,50,79840,1851488,-17649,-83987,490466,10004,577143,102236,1851488,0.3045654,7.0628662,0
17869,1779177983361147169,1,1,50,79840,1851488,-14438,-85997,492424,9858,576291,102236,1851488,0.3045654,7.0628662,0
17870,1779177983366265529,1,1,50,79840,1851488,-15193,-83049,494323,9709,575829,102236,1851488,0.3045654,7.0628662,0
17871,1779177983371260303,1,1,50,79840,1851488,-15908,-80171,496875,9560,576166,102236,1851488,0.3045654,7.0628662,0
17872,1779177983376231430,1,1,50,79840,1851488,-15280,-82628,499248,9401,577515,102236,1851488,0.3045654,7.0628662,0
17873,1779177983380915673,1,1,50,79840,1851488,-15955,-79911,501147,9233,580067,102236,1851488,0.3045654,7.0628662,0
17874,1779177983386280116,1,1,50,79840,1851488,-13947,-78419,502334,9014,583215,102236,1851488,0.3045654,7.0628662,0
17875,1779177983391246698,1,1,50,79840,1851488,-14629,-75506,502928,8788,586474,102236,1851488,0.3045654,7.0628662,0
17876,1779177983396233505,1,1,50,79744,1851488,-14010,-77896,504055,8526,588820,102132,1851488,0.3041992,7.0628662,0
17877,1779177983401649148,1,1,50,79808,1851488,-13422,-79995,504055,8526,588820,102196,1851488,0.3044434,7.0628662,0
17878,1779177983406305071,1,1,50,79840,1851488,-12683,-82547,504352,8236,589753,102236,1851488,0.3045654,7.0628662,0
17879,1779177983411241126,1,1,50,79840,1851488,-13404,-79640,504708,7763,589080,102236,1851488,0.3045654,7.0628662,0
17880,1779177983416253372,1,1,50,79632,1851488,-14111,-76696,504530,7534,587228,102016,1851488,0.3037720,7.0628662,0
17881,1779177983421259059,1,1,50,78976,1851488,-14791,-73771,504589,7299,584379,101370,1851488,0.3012695,7.0628662,0
17882,1779177983426226858,1,1,50,78768,1851488,-14125,-76192,505123,7096,581616,101156,1851488,0.3004761,7.0628662,0
17883,1779177983431256481,1,1,50,78400,1851488,-14806,-73277,505005,6912,579551,100793,1851488,0.2990723,7.0628662,0
17884,1779177983435988437,1,1,50,77728,1851488,-12829,-73010,505123,6772,579441,100122,1851488,0.2965088,7.0628662,0
17885,1779177983441227054,1,1,50,77392,1851488,-12167,-75321,505420,6557,580519,99780,1851488,0.2952271,7.0628662,0
17886,1779177983446247717,1,1,50,76672,1851488,-11433,-77764,505420,6307,583057,99061,1851488,0.2924805,7.0628662,0
17887,1779177983451214332,1,1,50,76416,1851488,-12126,-74849,506073,6027,586928,98803,1851488,0.2915039,7.0628662,0
17888,1779177983456203922,1,1,50,75856,1851488,-11366,-77302,506429,5685,591300,98254,1851488,0.2893677,7.0628662,0
17889,1779177983461254538,1,1,50,75856,1851488,-12070,-74290,506429,5315,596274,98252,1851488,0.2893677,7.0628662,0
17890,1779177983466273889,1,1,50,75520,1851488,-11617,-68202,506963,4892,601444,97909,1851488,0.2880859,7.0628662,0
17891,1779177983471261079,1,1,50,73520,1851488,-12233,-65184,507319,4311,605214,95916,1851488,0.2804565,7.0628662,0
17892,1779177983476250574,1,1,50,70736,1851488,-11510,-67619,508268,3537,606954,93126,1851488,0.2698364,7.0628662,0
17893,1779177983481236357,1,1,50,68912,1851488,-12132,-64590,509633,2667,607408,91308,1851488,0.2628784,7.0628662,0
17894,1779177983486252892,1,1,50,67472,1851488,-11382,-67114,510523,1746,606551,89868,1851488,0.2573853,7.0628662,0
17895,1779177983491257426,1,1,50,68384,1851488,-10594,-69656,512126,947,606051,90772,1851488,0.2608643,7.0628662,0
17896,1779177983496224745,1,1,50,69664,1851488,-11249,-66649,513609,286,605423,92050,1851488,0.2657471,7.0628662,0
17897,1779177983501245792,1,1,50,70336,1851488,-10447,-69230,514203,-288,603817,92735,1851488,0.2683105,7.0628662,0
17898,1779177983506243543,1,1,50,71360,1851488,-11109,-66219,515627,-747,602364,93759,1851488,0.2722168,7.0628662,0
17899,1779177983511271726,1,1,50,71840,1851488,-11750,-63197,515627,-747,602364,94228,1851488,0.2740479,7.0628662,0
17900,1779177983516263652,1,1,50,72720,1851488,-9897,-66443,518297,-1447,600768,95108,1851488,0.2774048,7.0628662,0
17901,1779177983521243227,1,1,50,72896,1851488,-10540,-63450,518297,-1447,600768,95294,1851488,0.2780762,7.0628662,0
17902,1779177983526240690,1,1,50,73312,1851488,-9703,-66160,519425,-1726,601174,95709,1851488,0.2796631,7.0628662,0
17903,1779177983531266249,1,1,50,73136,1851488,-10353,-63121,520612,-2228,604603,95534,1851488,0.2789917,7.0628662,0
17904,1779177983536244383,1,1,50,72160,1851488,-9523,-65760,520612,-2228,604603,94556,1851488,0.2752686,7.0628662,0
17905,1779177983541236758,1,1,50,71776,1851488,-10170,-62724,522333,-2934,608195,94165,1851488,0.2738037,7.0628662,0
17906,1779177983546233709,1,1,50,72544,1851488,-9327,-65367,523638,-3260,610455,94932,1851488,0.2767334,7.0628662,0
17907,1779177983551253124,1,1,50,73216,1851488,-9979,-62295,523994,-3549,612149,95613,1851488,0.2792969,7.0628662,0
17908,1779177983556201434,1,1,50,73024,1851488,-10594,-59266,524410,-3850,612062,95415,1851488,0.2785645,7.0628662,0
17909,1779177983561221009,1,1,50,71872,1851488,-9775,-61895,524410,-3850,612062,94262,1851488,0.2741699,7.0628662,0
