time_s,rpm,motor_current_A,duty_cycle,voltage_V,phase
1.0701,0,0.00,-0.0010,11.6,baseline
1.0751,0,0.00,-0.0020,11.6,baseline
1.0801,0,0.00,-0.0010,11.6,baseline
1.0851,0,0.00,0.0000,11.6,baseline
1.0901,0,0.00,-0.0010,11.6,baseline
1.0951,0,0.00,-0.0010,11.6,baseline
1.1001,0,0.00,-0.0010,11.6,baseline
1.1051,0,0.00,0.0000,11.6,baseline
1.1101,0,0.00,-0.0010,11.6,baseline
1.1151,0,0.00,0.0000,11.6,baseline
1.1201,0,0.00,-0.0010,11.6,baseline
1.1251,0,0.00,0.0000,11.6,baseline
1.1301,0,0.00,-0.0010,11.6,baseline
1.1351,0,0.00,-0.0010,11.6,baseline
1.1401,0,0.00,-0.0010,11.6,baseline
1.1451,0,0.00,-0.0010,11.6,baseline
1.1501,0,0.00,-0.0010,11.6,baseline
1.1551,0,0.00,0.0000,11.6,baseline
1.1601,0,0.00,0.0000,11.6,baseline
1.1651,0,0.00,-0.0010,11.6,baseline
1.1701,0,0.00,0.0000,11.6,baseline
1.1751,0,0.00,0.0000,11.6,baseline
1.1801,0,0.00,-0.0010,11.6,baseline
1.1851,0,0.00,0.0000,11.6,baseline
1.1901,0,0.00,0.0000,11.6,baseline
1.1951,0,0.00,-0.0010,11.6,baseline
1.2001,0,0.00,0.0000,11.6,baseline
1.2051,0,0.00,0.0010,11.6,baseline
1.2101,0,0.00,-0.0010,11.6,baseline
1.2151,0,0.00,-0.0010,11.6,baseline
1.2201,0,0.00,-0.0010,11.6,baseline
1.2251,0,0.00,0.0000,11.6,baseline
1.2301,0,0.00,0.0000,11.6,baseline
1.2351,0,0.00,-0.0010,11.6,baseline
1.2401,0,0.00,-0.0020,11.6,baseline
1.2451,0,0.00,-0.0010,11.6,baseline
1.2501,0,0.00,-0.0010,11.6,baseline
1.2551,0,0.00,-0.0010,11.6,baseline
1.2601,0,0.00,-0.0010,11.6,baseline
1.2651,0,0.00,-0.0010,11.6,baseline
1.2701,0,0.00,-0.0010,11.6,baseline
1.2751,0,0.00,-0.0010,11.6,baseline
1.2801,0,0.00,-0.0010,11.6,baseline
1.2851,0,0.00,-0.0010,11.6,baseline
1.2901,0,0.00,0.0000,11.6,baseline
1.2951,0,0.00,0.0000,11.6,baseline
1.3001,0,0.00,-0.0010,11.6,baseline
1.3051,0,0.00,-0.0010,11.6,baseline
1.3101,0,0.00,-0.0010,11.6,baseline
1.3151,0,0.00,0.0000,11.6,baseline
1.3201,0,0.00,-0.0010,11.6,baseline
1.3251,0,0.00,-0.0010,11.6,baseline
1.3301,0,0.00,-0.0010,11.6,baseline
1.3351,0,0.00,0.0000,11.6,baseline
1.3401,0,0.00,-0.0010,11.6,baseline
1.3451,0,0.00,-0.0010,11.6,baseline
1.3501,0,0.00,0.0000,11.6,baseline
1.3551,0,0.00,-0.0010,11.6,baseline
1.3601,0,0.00,0.0000,11.6,baseline
1.3651,0,0.00,0.0000,11.6,baseline
1.3701,0,0.00,0.0000,11.6,baseline
1.3751,0,0.00,-0.0010,11.6,baseline
1.3801,0,0.00,-0.0010,11.6,baseline
1.3851,0,0.00,-0.0010,11.6,baseline
1.3901,0,0.00,-0.0010,11.6,baseline
1.3951,0,0.00,0.0000,11.6,baseline
1.4001,0,0.00,-0.0010,11.6,baseline
1.4051,0,0.00,-0.0010,11.6,baseline
1.4101,0,0.00,-0.0010,11.6,baseline
1.4151,0,0.00,-0.0010,11.6,baseline
1.4201,0,0.00,0.0000,11.6,baseline
1.4251,0,0.00,-0.0010,11.6,baseline
1.4301,0,0.00,-0.0010,11.6,baseline
1.4351,0,0.00,-0.0010,11.6,baseline
1.4401,0,0.00,0.0000,11.6,baseline
1.4451,0,0.00,0.0000,11.6,baseline
1.4501,0,0.00,-0.0010,11.6,baseline
1.4551,0,0.00,0.0000,11.6,baseline
1.4601,0,0.00,-0.0010,11.6,baseline
1.4651,0,0.00,-0.0010,11.6,baseline
1.4701,0,0.00,-0.0010,11.6,baseline
1.4751,0,0.00,-0.0010,11.6,baseline
1.4801,0,0.00,-0.0010,11.6,baseline
1.4851,0,0.00,0.0000,11.6,baseline
1.4901,0,0.00,-0.0010,11.6,baseline
1.4951,0,0.00,0.0000,11.6,baseline
1.5001,0,0.00,0.0010,11.6,baseline
1.5051,0,0.00,-0.0020,11.6,baseline
1.5101,0,0.00,-0.0010,11.6,baseline
1.5151,0,0.00,-0.0010,11.6,baseline
1.5201,0,0.00,-0.0010,11.6,baseline
1.5251,0,0.00,-0.0020,11.6,baseline
1.5301,0,0.00,-0.0020,11.6,baseline
1.5351,0,0.00,0.0000,11.6,baseline
1.5401,0,0.00,-0.0010,11.6,baseline
1.5451,0,0.00,0.0000,11.6,baseline
1.5501,0,0.00,-0.0020,11.6,baseline
1.5551,0,0.00,0.0000,11.6,baseline
1.5601,0,0.00,-0.0010,11.6,baseline
1.5651,0,0.00,-0.0010,11.6,baseline
1.5701,0,0.00,-0.0010,11.6,baseline
1.5751,0,0.00,0.0000,11.6,baseline
1.5801,0,0.00,-0.0010,11.6,baseline
1.5851,0,0.00,-0.0010,11.6,baseline
1.5901,0,0.00,-0.0010,11.6,baseline
1.5951,0,0.00,-0.0010,11.6,baseline
1.6001,0,0.00,-0.0010,11.6,baseline
1.6051,0,0.00,-0.0010,11.6,baseline
1.6101,0,0.00,-0.0010,11.6,baseline
1.6151,0,0.00,0.0000,11.6,baseline
1.6201,0,0.00,-0.0010,11.6,baseline
1.6251,0,0.00,-0.0010,11.6,baseline
1.6301,0,0.00,-0.0010,11.6,baseline
1.6351,0,0.00,-0.0010,11.6,baseline
1.6401,0,0.00,-0.0010,11.6,baseline
1.6451,0,0.00,0.0000,11.6,baseline
1.6501,0,0.00,-0.0010,11.6,baseline
1.6551,0,0.00,-0.0010,11.6,baseline
1.6601,0,0.00,-0.0010,11.6,baseline
1.6651,0,0.00,-0.0010,11.6,baseline
1.6701,0,0.00,-0.0010,11.6,baseline
1.6751,0,0.00,-0.0010,11.6,baseline
1.6801,0,0.00,0.0000,11.6,baseline
1.6851,0,0.00,-0.0010,11.6,baseline
1.6901,0,0.00,0.0000,11.6,baseline
1.6951,0,0.00,-0.0010,11.6,baseline
1.7001,0,0.00,-0.0010,11.6,baseline
1.7051,0,0.00,0.0000,11.6,baseline
1.7101,0,0.00,0.0010,11.6,baseline
1.7151,0,0.00,-0.0010,11.6,baseline
1.7201,0,0.00,-0.0010,11.6,baseline
1.7251,0,0.00,-0.0020,11.6,baseline
1.7301,0,0.00,0.0000,11.6,baseline
1.7351,0,0.00,-0.0010,11.6,baseline
1.7401,0,0.00,0.0000,11.6,baseline
1.7451,0,0.00,0.0010,11.6,baseline
1.7501,0,0.00,0.0000,11.6,baseline
1.7551,0,0.00,-0.0010,11.6,baseline
1.7601,0,0.00,0.0010,11.6,baseline
1.7651,0,0.00,0.0000,11.6,baseline
1.7701,0,0.00,0.0000,11.6,baseline
1.7751,0,0.00,-0.0010,11.6,baseline
1.7801,0,0.00,-0.0010,11.6,baseline
1.7851,0,0.00,-0.0020,11.6,baseline
1.7901,0,0.00,0.0000,11.6,baseline
1.7951,0,0.00,-0.0010,11.6,baseline
1.8001,0,0.00,0.0000,11.6,baseline
1.8051,0,0.00,0.0000,11.6,baseline
1.8101,0,0.00,-0.0010,11.6,baseline
1.8151,0,0.00,-0.0010,11.6,baseline
1.8201,0,0.00,-0.0020,11.6,baseline
1.8251,0,0.00,-0.0010,11.6,baseline
