stage,trial_id,side,fraction,approach,raw_echo,odom_v,odom_v_mad,yaw_rate,yaw_rate_mad,curvature,delta_eq_rad,delta_eq_deg,split
04_static_map_training,training_low_raw_0.87_inward_sweep_01__attempt_01,low_raw,0.87,inward,0.1701235022262082,0.6121142857142857,0.009733024615384491,0.7555652732225702,0.06913771460976202,1.23435327496219,0.38044642833678194,21.797974674523932,train
04_static_map_training,training_low_raw_0.72_inward_sweep_01__attempt_01,low_raw,0.72,inward,0.23259850222620826,0.6130197802197803,0.006712430769230626,0.6415479233947394,0.04414985371192817,1.046537067963339,0.3269118225604052,18.730667705640865,train
04_static_map_training,training_low_raw_0.57_inward_sweep_01__attempt_01,low_raw,0.57,inward,0.2950735022262083,0.6139252747252747,0.006376809230769013,0.5258231377682748,0.02494307120547536,0.8564937125346002,0.2706926317256612,15.509545343169478,train
04_static_map_training,training_low_raw_0.42_inward_sweep_01__attempt_01,low_raw,0.42,inward,0.3575485022262084,0.6155098901098901,0.0030205938461538642,0.3966372379644365,0.014119783942771056,0.6444043293822994,0.2058301477285052,11.793198761397596,train
04_static_map_training,training_low_raw_0.27_inward_sweep_01__attempt_01,low_raw,0.27,inward,0.42002350222620843,0.616189010989011,0.003356215384615478,0.24801760254077432,0.013958047499951597,0.40250247589241317,0.12967895782327804,7.43005697492884,train
04_static_map_training,training_low_raw_0.15_inward_sweep_01__attempt_01,low_raw,0.15,inward,0.47000350222620846,0.616189010989011,0.0030205938461538642,0.13991824606353356,0.012999992278776462,0.22707033648483685,0.07343848052721384,4.207714988063034,train
04_static_map_training,training_low_raw_0.08_inward_sweep_01__attempt_01,low_raw,0.08,inward,0.4991585022262085,0.616189010989011,0.0030205938461538642,0.07284952174373586,0.016691477287157145,0.11822593464756717,0.03828648437359632,2.1936539670006465,train
04_static_map_training,training_low_raw_0.04_inward_sweep_01__attempt_01,low_raw,0.04,inward,0.5158185022262085,0.6132461538461539,0.0030205938461538642,0.028834821746048196,0.0159482429313771,0.0470199797670187,0.01523329502312012,0.8728035129024246,train
04_static_map_training,training_high_raw_0.04_outward_sweep_02__attempt_01,high_raw,0.04,outward,0.5485393621371601,0.616189010989011,0.0026849723076922505,-0.012257611873292886,0.013323456681519217,-0.019892616802138142,-0.006445118599959689,-0.3692780942389562,train
04_static_map_training,training_high_raw_0.08_outward_sweep_02__attempt_01,high_raw,0.08,outward,0.5646002220481119,0.6159626373626373,0.0030205938461538642,-0.05226928998949588,0.01298685150126636,-0.0848578904287067,-0.02748703191700464,-1.5748909201857544,train
04_static_map_training,training_high_raw_0.15_outward_sweep_02__attempt_01,high_raw,0.15,outward,0.5927067268922773,0.6157362637362638,0.0030205938461538642,-0.10392466157245894,0.015443337860101191,-0.1687811286959909,-0.0546306721355227,-3.130106945328399,train
04_static_map_training,training_high_raw_0.27_outward_sweep_02__attempt_01,high_raw,0.27,outward,0.6408893066251323,0.6155098901098901,0.0030205938461538642,-0.2089192715613717,0.015084773546068913,-0.33942471911226685,-0.10953345120501122,-6.275804469549284,train
