idx,iterations,status,solve_time_us,total_call_us,opencl_overhead_us,input_pack_us,input_migrate_enq_us,kernel_enq_us,output_migrate_enq_us,wait_us,output_unpack_us,input_migrate_us,kernel_us,output_migrate_us,in_mig_submit_us,in_mig_sched_us,gap_in_to_kernel_us,kernel_submit_us,kernel_sched_us,gap_kernel_to_out_us,out_mig_submit_us,out_mig_sched_us,udp_recv_us,crc_us
6443,1,0,207.352,242.093,138.672,4.870,16.981,86.491,7.170,107.081,0.320,10.480,103.421,9.340,0.780,24.241,27.710,0.750,0.840,23.521,58.341,21.760,6.670,92.521
6444,1,0,421.716,454.446,231.893,4.970,14.550,50.351,6.530,358.515,0.260,13.610,222.553,12.520,0.770,73.351,5.110,30.570,0.760,82.911,246.143,81.171,10.620,92.511
6445,1,0,333.374,365.695,216.004,4.860,14.771,47.950,6.370,273.374,0.270,12.181,149.691,12.050,0.790,72.241,4.950,30.811,0.740,71.471,173.842,69.651,6.790,92.501
6446,1,0,281.784,313.404,164.532,4.870,13.910,46.161,6.410,223.613,0.260,12.040,148.872,12.141,0.750,70.811,4.880,31.450,0.730,21.880,173.662,20.120,6.740,92.521
6447,1,0,232.463,263.743,162.882,4.820,14.190,44.101,6.250,176.392,0.230,11.860,100.861,10.090,0.790,70.751,4.980,32.810,0.730,22.741,127.261,20.801,6.180,92.531
6448,1,0,228.053,260.083,162.572,4.860,14.430,45.311,6.450,170.422,0.250,11.660,97.511,10.530,0.770,70.361,5.100,31.650,0.730,21.741,122.251,19.941,6.480,92.491
6449,1,0,232.473,264.513,163.602,4.830,14.740,46.311,6.310,173.712,0.250,11.880,100.911,10.030,0.780,71.611,4.900,30.740,0.740,22.971,125.131,21.071,7.300,92.551
6450,1,0,235.123,267.493,166.212,4.870,14.930,47.240,6.420,175.692,0.260,11.820,101.281,11.050,0.770,71.111,4.920,30.441,0.760,21.810,124.961,20.060,6.490,92.502
6451,1,0,236.293,267.844,165.013,4.830,14.430,45.640,6.300,178.703,0.250,11.950,102.831,10.100,0.770,72.671,4.880,33.381,0.710,22.680,129.522,20.950,6.400,92.521
6452,1,0,235.843,267.513,163.202,4.850,14.360,46.560,6.351,177.232,0.250,12.380,104.311,10.540,0.770,70.191,5.020,30.831,0.760,22.310,128.381,20.590,6.270,92.491
