monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_short_window_percent,gpu_percent
1969693872700,1779177993,228755704,45.619,0.000
1969713859286,1779177993,248737842,44.848,0.000
1969733866193,1779177993,268748813,43.381,0.000
1969753923275,1779177993,288805032,43.074,0.000
1969773864613,1779177993,308747297,42.381,14.000
1969793846143,1779177993,328728923,42.165,14.000
1969813867993,1779177993,348750997,40.452,0.000
1969833860659,1779177993,368743088,41.405,0.000
1969853863118,1779177993,388745514,42.716,39.000
1969873863464,1779177993,408746052,43.702,39.000
1969893865122,1779177993,428748094,42.988,0.000
1969913858684,1779177993,448736664,43.488,0.000
1969933941655,1779177993,468824819,43.171,0.000
1969953815408,1779177993,488697548,44.155,0.000
1969973820234,1779177993,508703206,40.898,0.000
1969993817956,1779177993,528700192,42.673,0.000
1970013865375,1779177993,548748219,41.655,39.000
1970033945274,1779177993,568827862,42.369,39.000
1970053862387,1779177993,588744879,41.548,0.000
1970073858990,1779177993,608741450,41.775,0.000
1970093865480,1779177993,628748676,37.333,25.000
1970113968067,1779177993,648847327,35.758,25.000
1970133861724,1779177993,668744344,37.121,0.000
1970153866550,1779177993,688816435,38.056,0.000
1970173863344,1779177993,708746733,35.722,0.000
1970193860395,1779177993,728742983,34.747,0.000
1970213866405,1779177993,748749857,37.734,39.000
1970233859903,1779177993,768742715,37.508,39.000
1970253860793,1779177993,788744245,33.952,0.000
1970273865555,1779177993,808748271,34.502,0.000
1970293866158,1779177993,828748714,38.119,38.000
1970313860328,1779177993,848742340,38.833,38.000
1970333864450,1779177993,868747198,44.000,38.000
1970353861148,1779177993,888743320,44.589,38.000
1970373867990,1779177993,908751058,47.214,39.000
1970393862032,1779177993,928744780,43.680,39.000
1970413864491,1779177993,948747687,42.165,0.000
1970433863461,1779177993,968745537,40.606,0.000
1970453873119,1779177993,988756475,36.952,38.000
1970473862393,1779177994,8744981,35.974,38.000
1970493866067,1779177994,28748975,39.524,31.000
1970513859309,1779177994,48737353,39.905,31.000
1970533871111,1779177994,68753699,38.619,7.000
1970553865921,1779177994,88748157,39.426,7.000
1970573862299,1779177994,108745111,41.464,40.000
1970593858069,1779177994,128740657,38.647,40.000
1970613862544,1779177994,148745676,35.271,0.000
1970633866250,1779177994,168749126,36.180,0.000
1970653863588,1779177994,188747392,38.333,0.000
