wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1779177897203444413,1779177897194836922,0.345,2000,2.959,3.964,6.923,1.109,0.223,8.255
1779177897223598532,1779177897214829855,0.262,2000,2.317,4.251,6.568,1.061,0.871,8.499
1779177897253036662,1779177897244787223,0.226,2000,2.783,3.939,6.722,1.079,0.215,8.017
1779177897272895802,1779177897264829981,0.228,2000,2.363,3.988,6.352,1.261,0.219,7.832
1779177897308874775,1779177897294819541,4.406,2000,3.076,4.486,7.561,1.181,0.899,9.641
1779177897324320744,1779177897314834939,0.233,2000,2.728,4.175,6.904,1.406,0.935,9.245
1779177897354146302,1779177897344829203,0.518,2000,2.031,4.238,6.269,1.555,0.965,8.790
1779177897373275194,1779177897364839993,0.241,2000,2.361,4.121,6.483,1.367,0.338,8.187
1779177897399016257,1779177897394818641,0.237,2000,2.424,0.046,2.469,1.204,0.281,3.954
1779177897423125942,1779177897414827255,0.489,2000,2.198,3.899,6.098,1.343,0.361,7.802
1779177897453681716,1779177897444831343,0.226,2000,3.138,3.555,6.692,1.074,0.851,8.617
1779177897472811024,1779177897464814964,0.607,2000,2.022,4.181,6.203,0.999,0.179,7.382
1779177897503173324,1779177897494831469,0.256,2000,2.318,4.408,6.725,1.182,0.173,8.080
1779177897523048241,1779177897514798162,0.240,2000,2.756,3.655,6.411,1.394,0.198,8.004
1779177897553542670,1779177897544834731,0.475,2000,2.151,3.983,6.134,1.134,0.958,8.225
1779177897573270289,1779177897564804048,0.228,2000,2.354,4.139,6.493,1.019,0.719,8.231
1779177897602732707,1779177897594825864,0.250,2000,3.581,2.709,6.291,1.116,0.243,7.650
1779177897623243534,1779177897614850222,0.372,2000,2.417,4.173,6.590,1.264,0.161,8.014
1779177897653488873,1779177897644837318,0.215,2000,2.307,4.232,6.539,1.767,0.124,8.430
1779177897672790503,1779177897664799915,0.348,2000,2.445,3.944,6.389,1.109,0.138,7.636
1779177897702972961,1779177897694836100,0.240,2000,2.770,3.785,6.556,1.312,0.023,7.891
1779177897724554041,1779177897714819369,0.242,2000,6.004,0.454,6.457,1.506,1.522,9.486
1779177897752841662,1779177897744826146,0.273,2000,2.262,4.313,6.575,1.002,0.159,7.736
1779177897773719757,1779177897764798087,0.343,2000,2.472,3.963,6.435,1.309,0.827,8.571
1779177897798922094,1779177897794814463,0.520,2000,2.253,0.048,2.301,1.099,0.181,3.581
1779177897819650172,1779177897814811621,0.316,2000,2.366,0.047,2.413,1.684,0.417,4.514
1779177897853849765,1779177897844833853,0.245,2000,2.477,4.213,6.690,1.131,0.943,8.763
1779177897868833009,1779177897864823555,0.212,2000,2.528,0.045,2.573,1.020,0.198,3.791
1779177897902735830,1779177897894848379,0.244,2000,2.455,4.173,6.628,0.821,0.187,7.636
1779177897923734151,1779177897914819745,0.247,2000,2.625,4.165,6.790,0.887,0.981,8.659
1779177897950509722,1779177897944872761,0.476,2000,2.809,0.051,2.860,0.967,1.326,5.153
1779177897969417139,1779177897964802878,0.600,2000,2.285,0.048,2.332,1.233,0.442,4.007
1779177898003233815,1779177897994792566,0.235,2000,2.821,4.003,6.825,1.228,0.147,8.199
1779177898023228700,1779177898014941117,0.255,2000,2.846,3.645,6.490,1.517,0.021,8.028
1779177898053144820,1779177898044838004,0.671,2000,2.019,4.113,6.131,1.298,0.201,7.630
1779177898073101496,1779177898064786201,0.237,2000,2.616,3.925,6.541,1.415,0.116,8.072
1779177898103207026,1779177898094787473,0.263,2000,2.556,4.049,6.605,1.369,0.177,8.150
1779177898122593488,1779177898114830647,0.237,2000,2.414,3.912,6.326,1.066,0.128,7.520
1779177898152740426,1779177898144844559,0.246,2000,2.386,3.988,6.374,1.072,0.197,7.643
1779177898173300854,1779177898164830549,0.214,2000,2.384,4.528,6.912,1.076,0.263,8.251
1779177898202946954,1779177898194827885,0.243,2000,2.471,4.061,6.532,1.129,0.208,7.869
1779177898222605259,1779177898214832914,0.938,2000,1.895,3.771,5.666,0.995,0.166,6.827
1779177898254534009,1779177898244798730,0.661,2000,1.933,6.022,7.955,0.982,0.131,9.069
1779177898273153807,1779177898264798127,0.359,2000,3.080,3.476,6.556,1.246,0.188,7.990
1779177898299805601,1779177898294833736,0.267,2000,3.140,0.046,3.186,1.179,0.333,4.698
1779177898322927626,1779177898314783436,0.475,2000,2.021,4.255,6.277,1.235,0.151,7.663
1779177898356142631,1779177898344782948,0.216,2000,2.525,4.413,6.938,4.175,0.026,11.139
1779177898373381932,1779177898363855743,0.262,2000,2.646,4.840,7.486,0.994,0.778,9.257
1779177898402955680,1779177898394761666,0.257,2000,2.284,4.112,6.396,1.377,0.157,7.930
1779177898418677492,1779177898414802471,0.234,2000,2.260,0.044,2.304,1.176,0.155,3.634
1779177898449498485,1779177898444807744,0.298,2000,2.287,0.046,2.333,1.148,0.905,4.386
1779177898472775744,1779177898464804517,0.243,2000,2.538,4.004,6.543,1.047,0.132,7.721
1779177898503654274,1779177898494806205,0.347,2000,2.558,3.959,6.518,1.850,0.127,8.495
1779177898553398301,1779177898544827387,0.475,2000,2.063,4.567,6.630,1.160,0.299,8.089
1779177898598979848,1779177898594799384,0.360,2000,2.266,0.047,2.313,1.223,0.277,3.813
1779177898652849426,1779177898644797717,0.208,2000,2.265,4.288,6.553,1.103,0.182,7.837
