monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_long_window_percent,gpu_percent
1925313822720,1779177948,848705244,39.890,25.000
1926313858088,1779177949,848739812,40.334,25.000
1927313863337,1779177950,848744805,41.558,8.000
1928313837189,1779177951,848719041,44.326,0.000
1929313854139,1779177952,848736087,42.660,6.000
1930313872108,1779177953,848754568,39.521,14.000
1931313837174,1779177954,848718450,36.398,38.000
1932313844283,1779177955,848725975,39.256,38.000
1933313858459,1779177956,848744887,43.626,39.000
1934313834324,1779177957,848716208,39.216,38.000
1935313867753,1779177958,848749157,38.933,25.000
1936313832375,1779177959,848713971,38.704,25.000
1937313840256,1779177960,848721948,40.554,7.000
1938313862116,1779177961,848743904,43.892,13.000
1939313888066,1779177962,848770110,39.527,5.000
1940313863290,1779177963,848745270,37.647,0.000
1941313862509,1779177964,848743721,43.458,38.000
1942313856187,1779177965,848737655,43.003,39.000
1943313837283,1779177966,848719199,42.494,38.000
1944313824229,1779177967,848705954,38.282,40.000
1945313967428,1779177968,848849408,39.337,40.000
1946313861371,1779177969,848810360,42.865,38.000
1947313857422,1779177970,848739466,41.977,39.000
1948313865659,1779177971,848747575,40.562,38.000
1949313858851,1779177972,848740479,40.623,38.000
1950313876934,1779177973,848758882,41.049,0.000
1951313864772,1779177974,848746144,44.212,0.000
1952313864988,1779177975,848747064,41.033,13.000
1953313862767,1779177976,848744171,42.336,13.000
1954313894461,1779177977,848776793,39.515,22.000
1955313865253,1779177978,848747585,42.088,33.000
1956313864201,1779177979,848745989,43.173,38.000
1957313862471,1779177980,848744387,42.742,39.000
1958313859616,1779177981,848741373,39.309,0.000
1959313866133,1779177982,848748177,39.953,0.000
1960313861636,1779177983,848743392,44.296,0.000
1961313863406,1779177984,848744650,42.713,0.000
1962313863763,1779177985,848746831,37.602,0.000
1963313862291,1779177986,848744111,41.020,38.000
1964313860878,1779177987,848742474,43.658,40.000
1965313862084,1779177988,848754144,41.619,39.000
1966313861813,1779177989,848743537,42.755,39.000
1967313862337,1779177990,848744221,39.729,39.000
1968313865896,1779177991,848748068,40.175,38.000
1969313864650,1779177992,848746470,42.982,0.000
1970313860328,1779177993,848742340,41.690,38.000
1971313860256,1779177994,848741980,39.826,0.000
1972313865460,1779177995,848747184,40.129,0.000
1973313857923,1779177996,848739871,44.720,0.000
1974313861069,1779177997,848743049,47.563,39.000
1975326291001,1779177998,861630458,39.873,0.000
1976313856114,1779177999,848738255,43.446,38.000
1977313859246,1779178000,848740906,40.186,38.000
1978313865221,1779178001,848747713,45.517,39.000
1979313862744,1779178002,848745236,42.613,0.000
1980313854181,1779178003,848736481,40.088,53.000
1981313832494,1779178004,848714314,40.964,0.000
1982313855954,1779178005,848737902,40.773,40.000
1983313861714,1779178006,848744078,45.505,38.000
1984313860301,1779178007,848742089,44.300,40.000
1985313859203,1779178008,848740863,39.633,38.000
1986313858133,1779178009,848740561,40.584,38.000
1987313858498,1779178010,848740286,43.251,38.000
1988313863275,1779178011,848745799,46.545,39.000
1989313836943,1779178012,848718731,42.650,0.000
1990313857135,1779178013,848738955,41.167,0.000
