monotonic_time_ns,ros_time_sec,ros_time_nsec,gpu_percent
1896933862012,1779177920,468744952,0.000
1896953856863,1779177920,488739707,0.000
1896973861345,1779177920,508744029,52.000
1896993825379,1779177920,528707583,52.000
1897013860742,1779177920,548743234,0.000
1897033856296,1779177920,568737924,0.000
1897053860683,1779177920,588743463,38.000
1897073839629,1779177920,608721673,38.000
1897093863152,1779177920,628745964,8.000
1897113859730,1779177920,648739438,8.000
1897133859348,1779177920,668742320,38.000
1897153858903,1779177920,688740179,38.000
1897173859513,1779177920,708742069,0.000
1897193836123,1779177920,728718423,0.000
1897213855774,1779177920,748737978,39.000
1897233858080,1779177920,768739996,39.000
1897253858947,1779177920,788740927,38.000
1897273857157,1779177920,808739329,38.000
1897293863528,1779177920,828746116,0.000
1897313860746,1779177920,848742502,0.000
1897333861804,1779177920,868744105,38.000
1897353840207,1779177920,888726443,38.000
1897373861297,1779177920,908744493,38.000
1897393862324,1779177920,928744496,38.000
1897413859734,1779177920,948742130,39.000
1897433855384,1779177920,968736948,39.000
1897453860283,1779177920,988742903,40.000
1897473858077,1779177921,8739993,40.000
1897493867200,1779177921,28750140,39.000
1897513842210,1779177921,48727134,39.000
1897533864388,1779177921,68746944,14.000
1897553839078,1779177921,88720770,14.000
1897573863273,1779177921,108745957,39.000
1897593819306,1779177921,128700582,39.000
1897613864397,1779177921,148746729,39.000
1897633865583,1779177921,168747980,39.000
1897653862610,1779177921,188745262,39.000
1897673850964,1779177921,208732912,39.000
1897693862198,1779177921,228745298,0.000
1897713861368,1779177921,248741429,0.000
1897733862971,1779177921,268745911,40.000
1897753857885,1779177921,288739449,40.000
1897773867039,1779177921,308749819,38.000
1897793870402,1779177921,328752510,38.000
1897813862468,1779177921,348744512,13.000
1897833863398,1779177921,368744866,13.000
1897853862632,1779177921,388745029,38.000
1897873809738,1779177921,408691270,38.000
1897893863821,1779177921,428746409,5.000
1897913863535,1779177921,448743179,5.000
1897933815697,1779177921,468698669,0.000
1897953857492,1779177921,488739536,0.000
1897973865686,1779177921,508748114,38.000
1897993847992,1779177921,528730388,38.000
1898013816954,1779177921,548699158,39.000
1898033856157,1779177921,568737817,39.000
1898053818943,1779177921,588702235,0.000
1898073815393,1779177921,608697789,0.000
1898093861892,1779177921,628744416,0.000
1898113838214,1779177921,648717890,0.000
1898133865800,1779177921,668748836,39.000
1898153862955,1779177921,688744999,39.000
1898173862701,1779177921,708745577,0.000
1898193858223,1779177921,728740363,0.000
1898213862705,1779177921,748745389,0.000
1898233864436,1779177921,768746672,0.000
1898253866134,1779177921,788749458,39.000
1898273827192,1779177921,808709620,39.000
1898293865114,1779177921,828747767,39.000
1898313860445,1779177921,848743225,39.000
1898333863871,1779177921,868746683,0.000
1898353861153,1779177921,888743133,0.000
1898373865188,1779177921,908748032,7.000
1898393856998,1779177921,928738914,7.000
1898413875176,1779177921,948757796,40.000
1898433818858,1779177921,968700902,40.000
1898453822892,1779177921,988705672,14.000
1898473859759,1779177922,8741963,14.000
1898493873809,1779177922,28756141,40.000
1898513844947,1779177922,48724111,40.000
1898533860693,1779177922,68743857,39.000
1898553821943,1779177922,88704467,39.000
1898573866362,1779177922,108749110,0.000
1898593862588,1779177922,128744600,0.000
1898613826173,1779177922,148709146,40.000
1898633855808,1779177922,168737916,40.000
1898653824962,1779177922,188707646,38.000
1898673870052,1779177922,208752512,38.000
1898693858854,1779177922,228741794,45.000
1898713837736,1779177922,248717284,45.000
1898733862987,1779177922,268745767,25.000
1898753832205,1779177922,288714089,25.000
1898773869839,1779177922,308752683,38.000
1898793831409,1779177922,328713101,38.000
1898813859123,1779177922,348742095,14.000
1898833858357,1779177922,368739921,14.000
1898853825367,1779177922,388708051,38.000
1898873855514,1779177922,408737654,38.000
1898893859324,1779177922,428741080,38.000
1898913823262,1779177922,448703226,38.000
1898933865216,1779177922,468748476,39.000
1898953860450,1779177922,488742270,39.000
1898973863876,1779177922,508746689,0.000
1898993861703,1779177922,528743523,0.000
1899013825544,1779177922,548708068,38.000
1899033826634,1779177922,568708231,38.000
1899053824621,1779177922,588707433,39.000
1899073853519,1779177922,608735339,39.000
1899093859313,1779177922,628741933,6.000
1899113865524,1779177922,648745232,6.000
1899133833173,1779177922,668715857,38.000
1899153864120,1779177922,688746644,38.000
1899173859482,1779177922,708742262,4.000
1899193822972,1779177922,728705336,4.000
1899213860638,1779177922,748743034,0.000
1899233840992,1779177922,768722684,0.000
1899253860930,1779177922,788743807,38.000
1899273860517,1779177922,808743009,38.000
1899293859207,1779177922,828742403,39.000
1899313846857,1779177922,848728965,39.000
1900282489996,1779177923,817499626,53.000
1900293859053,1779177923,828741993,53.000
1900313841774,1779177923,848723755,53.000
1900333859025,1779177923,868741165,39.000
1900353856211,1779177923,888737455,39.000
1900373859317,1779177923,908741553,0.000
1900393855383,1779177923,928736595,0.000
1900413860185,1779177923,948742581,0.000
1900433856667,1779177923,968738167,0.000
1900453860125,1779177923,988742617,13.000
1900473837567,1779177924,8718971,13.000
1900493860545,1779177924,28742429,0.000
1900513829506,1779177924,48708734,0.000
1900533864260,1779177924,68747073,39.000
1900553844774,1779177924,88726754,39.000
1900573859528,1779177924,108741412,0.000
1900593856778,1779177924,128738310,0.000
1900613843308,1779177924,148725192,0.000
1900633838926,1779177924,168719850,0.000
1900653833711,1779177924,188716172,0.000
1900673850514,1779177924,208732142,0.000
1900693856244,1779177924,228737936,40.000
1900713823765,1779177924,248702609,40.000
1900733859863,1779177924,268741907,0.000
1900753861145,1779177924,288742869,0.000
1900773861947,1779177924,308744599,33.000
1900793840925,1779177924,328722329,33.000
1900813857983,1779177924,348740635,53.000
1900833861409,1779177924,368742493,53.000
1900853863299,1779177924,388745535,33.000
1900873827460,1779177924,408709504,33.000
1900893859078,1779177924,428741763,39.000
1900913856552,1779177924,448735524,39.000
1900933861386,1779177924,468743974,40.000
1900953864492,1779177924,488746440,40.000
1900973861326,1779177924,508743786,0.000
1900993855792,1779177924,528737932,0.000
1901013850386,1779177924,548732814,39.000
1901033827539,1779177924,568709167,39.000
1901053860054,1779177924,588742514,39.000
1901073829431,1779177924,608711507,39.000
1901093857913,1779177924,628739701,39.000
1901113856603,1779177924,648736247,39.000
1901133860125,1779177924,668743801,38.000
1901155301327,1779177924,690183179,32.000
1901173859937,1779177924,708742109,32.000
1901194115526,1779177924,728997122,0.000
1901213853445,1779177924,748736577,0.000
1901233831334,1779177924,768717186,0.000
1901253861224,1779177924,788743461,39.000
1901273838826,1779177924,808721158,39.000
1901293857484,1779177924,828740200,38.000
1901313886030,1779177924,848768298,38.000
1901333861008,1779177924,868743084,38.000
1901353856626,1779177924,888738414,38.000
1901373861204,1779177924,908744208,0.000
1901393825653,1779177924,928707409,0.000
1901413860696,1779177924,948742612,38.000
1901433856953,1779177924,968739029,38.000
1901453859323,1779177924,988741655,19.000
1901473857533,1779177925,8739001,19.000
1901493865599,1779177925,28748571,25.000
1901513851297,1779177925,48730909,25.000
1901533860322,1779177925,68743359,38.000
1901553856964,1779177925,88739232,38.000
1901573860230,1779177925,108742466,0.000
1901593858440,1779177925,128739748,0.000
1901613853513,1779177925,148735909,0.000
1901633863883,1779177925,168745671,0.000
1901653861101,1779177925,188743145,38.000
1901673858959,1779177925,208741067,38.000
1901693853200,1779177925,228735277,39.000
1901713856722,1779177925,248736686,39.000
1901733860340,1779177925,268742448,0.000
1901753869334,1779177925,288751058,0.000
1901773862264,1779177925,308745076,25.000
1901793930970,1779177925,328813206,25.000
1901813830971,1779177925,348714263,0.000
1901833859837,1779177925,368742073,0.000
1901853861983,1779177925,388745467,0.000
1901873858272,1779177925,408739836,0.000
1901893857378,1779177925,428739262,0.000
1901913857060,1779177925,448736768,0.000
1901933859558,1779177925,468741890,39.000
1901953826631,1779177925,488708355,39.000
1901973860329,1779177925,508743365,0.000
1901993818794,1779177925,528700583,0.000
1902013860429,1779177925,548743369,0.000
1902033855470,1779177925,568737002,0.000
1902053857328,1779177925,588739468,0.000
1902073858482,1779177925,608740270,0.000
1902093864980,1779177925,628746928,39.000
1902113856117,1779177925,648735410,39.000
1902133858839,1779177925,668740819,26.000
1902153857625,1779177925,688739317,26.000
1902173860027,1779177925,708742199,0.000
1902193858525,1779177925,728739737,0.000
1902213856734,1779177925,748738234,39.000
1902233861728,1779177925,768743260,39.000
1902253866306,1779177925,788749150,0.000
1902273857764,1779177925,808739328,0.000
1902293817221,1779177925,828699361,0.000
1902313831111,1779177925,848712675,0.000
1902333859241,1779177925,868741349,0.000
1902356031555,1779177925,890913375,39.000
1902373861100,1779177925,908743368,39.000
1902393812238,1779177925,928694154,39.000
1902413855984,1779177925,948738380,26.000
1902433813425,1779177925,968695181,26.000
1902453815891,1779177925,988698543,39.000
1902473813269,1779177926,8694801,39.000
1902493862167,1779177926,28744851,5.000
1902513816920,1779177926,48696404,5.000
1902533861050,1779177926,68743158,39.000
1902553832635,1779177926,88714551,39.000
1902573866973,1779177926,108749017,48.000
1902593814110,1779177926,128695835,48.000
1902613859105,1779177926,148741181,38.000
1902633826850,1779177926,168708542,38.000
1902653860388,1779177926,188743264,0.000
1902673834821,1779177926,208717345,0.000
1902693860999,1779177926,228742979,38.000
1902713839241,1779177926,248719205,38.000
1902733818346,1779177926,268701638,39.000
1902753818668,1779177926,288699880,39.000
1902773860526,1779177926,308742890,7.000
1902793820783,1779177926,328702923,7.000
1902813824529,1779177926,348707085,38.000
1902833860883,1779177926,368743151,38.000
1902853860884,1779177926,388743344,0.000
1902873857590,1779177926,408739442,0.000
1902893858775,1779177926,428741812,0.000
1902913830105,1779177926,448709973,0.000
1902933862683,1779177926,468745463,38.000
1902953859100,1779177926,488741240,38.000
1902973859806,1779177926,508742042,39.000
1902993860032,1779177926,528742812,39.000
1903013860513,1779177926,548743453,0.000
1903033858755,1779177926,568741023,0.000
1903053859589,1779177926,588742433,20.000
1903073839750,1779177926,608721698,20.000
1903093861480,1779177926,628743556,39.000
1903113858409,1779177926,648738213,39.000
1903133865803,1779177926,668748711,25.000
1903153982158,1779177926,688864682,25.000
1903173860142,1779177926,708743146,40.000
1903193834288,1779177926,728716492,40.000
1903213862226,1779177926,748745166,39.000
1903233832947,1779177926,768715439,39.000
1903253861205,1779177926,788743825,0.000
1903273858263,1779177926,808741107,0.000
1903293860728,1779177926,828743668,39.000
1903313859706,1779177926,848742038,39.000
1903333866524,1779177926,868748792,38.000
1903353861789,1779177926,888743993,38.000
1903373858463,1779177926,908741211,39.000
1903393832128,1779177926,928714236,39.000
1903416906948,1779177926,951789184,25.000
1903433858980,1779177926,968740896,25.000
1903453859909,1779177926,988742721,39.000
1903473857575,1779177927,8739331,39.000
1903493864392,1779177927,28746660,13.000
1903513860138,1779177927,48739494,13.000
1903533865099,1779177927,68747815,38.000
1903553856941,1779177927,88739433,38.000
1903573862062,1779177927,108744682,38.000
1903593856560,1779177927,128738636,38.000
1903613863249,1779177927,148745741,52.000
1903633868339,1779177927,168750479,52.000
1903653820244,1779177927,188702864,0.000
1903673927479,1779177927,208809235,0.000
1903693949176,1779177927,228832405,38.000
1903713869785,1779177927,248749717,38.000
1903733867643,1779177927,268750551,38.000
1903753865532,1779177927,288747768,38.000
1903773838333,1779177927,308721433,4.000
1903793832191,1779177927,328714907,4.000
1903813863072,1779177927,348745501,39.000
1903833857410,1779177927,368739518,39.000
1903853931396,1779177927,388813664,5.000
1903873865317,1779177927,408747265,5.000
1903893861158,1779177927,428743459,0.000
1903913856648,1779177927,448736484,0.000
