label,phase,raceline,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,Q_CONTOURING,Q_LAG,Q_PROGRESS,Q_VX,VX_REF,Q_VY,Q_OMEGA,R_DELTA,R_AX,R_VTHETA,W_DELTA_RATE,W_AX_RATE,W_VTHETA_RATE,Q_CONTOURING_TERM,Q_LAG_TERM,Q_PROGRESS_TERM,ADMM_RHO,ADMM_MAX_ITER,ADMM_TOL,HORIZON,DT,V_THETA_MAX
Q_LAG=10000,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.6,570.6,0,0.0,1.1,OK,500.0,10000,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS=0.1,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.9,550.7,0,0.0,1.1,OK,500.0,1000.0,0.1,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS=0.5,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.6,528.8,0,0.0,1.1,OK,500.0,1000.0,0.5,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS=1.0,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.4,567.0,0,0.0,1.1,OK,500.0,1000.0,1.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS=2.0,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.1,517.7,0,0.0,1.1,OK,500.0,1000.0,2.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS=5.0,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.2,518.9,0,0.0,1.1,OK,500.0,1000.0,5.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS=10.0,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.8,557.4,0,0.0,1.1,OK,500.0,1000.0,10.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VX=0,Phase 1: One-at-a-time,my_track,1168200.0,5,1,9.1671,4.3755,3.1411,2.0984,6.43,2.9436,5.2224,686.3,844.9,11677,0.4,100.0,OK,500.0,1000.0,100.0,0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VX=5,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.2,475.9,0,0.0,1.1,OK,500.0,1000.0,100.0,5,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VX=15,Phase 1: One-at-a-time,my_track,1128800.0,6,0,15.2635,4.3721,3.1414,1.5259,6.56,1.7348,4.5089,711.4,1431.4,11283,1.2,100.0,OK,500.0,1000.0,100.0,15,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VX=25,Phase 1: One-at-a-time,my_track,1098000.0,6,0,14.7029,4.2025,3.1415,1.5665,6.12,1.8907,4.7501,687.0,1012.0,10975,1.6,99.9,OK,500.0,1000.0,100.0,25,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VX=50,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.8,569.5,0,0.0,1.1,OK,500.0,1000.0,100.0,50,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VX=100,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.9,446.8,0,0.0,1.1,OK,500.0,1000.0,100.0,100,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
VX_REF=1.0,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.6,548.6,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,1.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
VX_REF=1.5,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.1,509.3,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,1.5,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
VX_REF=2.0,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.8,531.6,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,2.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
VX_REF=3.0,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.1,524.6,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,3.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
VX_REF=4.0,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.3,540.9,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,4.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VY=0.1,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.2,477.1,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,0.1,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VY=0.5,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.6,615.0,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,0.5,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VY=5.0,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.4,510.9,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,5.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_VY=10.0,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.7,456.4,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,10.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_OMEGA=0.1,Phase 1: One-at-a-time,my_track,1021100.0,6,0,17.4407,4.1614,3.1408,1.053,6.66,2.2459,4.417,678.8,827.1,10206,2.5,100.0,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.1,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_OMEGA=1.0,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.3,535.1,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,1.0,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_OMEGA=5.0,Phase 1: One-at-a-time,my_track,75.955,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.2,88.4,0,0.0,1.0,OK,500.0,1000.0,100.0,10.0,5.0,1.0,5.0,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_OMEGA=10.0,Phase 1: One-at-a-time,my_track,75.955,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.4,53.2,0,0.0,1.0,OK,500.0,1000.0,100.0,10.0,5.0,1.0,10.0,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_DELTA=0.01,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.3,563.1,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.01,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_DELTA=0.05,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.2,550.6,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.05,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_DELTA=0.1,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.9,630.0,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.1,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_DELTA=1.0,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.2,526.5,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,1.0,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_DELTA=5.0,Phase 1: One-at-a-time,my_track,75.955,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.0,327.1,0,0.0,1.0,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,5.0,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_DELTA=10.0,Phase 1: One-at-a-time,my_track,75.955,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,14.8,274.0,0,0.0,1.0,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,10.0,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_AX=0.001,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.0,618.4,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.001,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_AX=0.05,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.2,545.2,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.05,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_AX=0.1,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.1,518.3,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.1,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_VTHETA=0.1,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.5,539.9,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,0.1,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_VTHETA=0.5,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.4,539.5,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,0.5,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_VTHETA=5.0,Phase 1: One-at-a-time,my_track,1136000.0,5,1,38.3926,12.5329,3.1416,1.7351,4.79,4.4732,10.1841,681.3,1008.4,11355,0.0,100.0,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,5.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
R_VTHETA=10.0,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,16.1,855.9,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,10.0,0.1,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_DELTA_RATE=0.5,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.3,533.7,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.5,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_DELTA_RATE=1.0,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.5,458.3,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,1.0,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_DELTA_RATE=2.0,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,14.8,398.3,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,2.0,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_DELTA_RATE=5.0,Phase 1: One-at-a-time,my_track,75.955,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.4,420.7,0,0.0,1.0,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,5.0,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_DELTA_RATE=10.0,Phase 1: One-at-a-time,my_track,75.955,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.3,203.3,0,0.0,1.0,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,10.0,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_DELTA_RATE=20.0,Phase 1: One-at-a-time,my_track,75.955,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.1,180.1,0,0.0,1.0,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,20.0,0.1,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_AX_RATE=0.01,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.3,554.7,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.01,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_AX_RATE=0.05,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,16.0,584.8,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.05,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_AX_RATE=0.5,Phase 1: One-at-a-time,my_track,1030900.0,5,1,6.8729,1.8134,3.1407,1.2505,4.79,2.456,6.4821,686.0,993.4,10304,0.0,100.0,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.5,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_AX_RATE=1.0,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.6,629.0,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,1.0,0.1,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_VTHETA_RATE=0.01,Phase 1: One-at-a-time,my_track,75.977,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,16.6,490.0,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.01,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_VTHETA_RATE=0.05,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.3,482.2,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.05,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_VTHETA_RATE=0.5,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.6,559.9,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.5,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
W_VTHETA_RATE=1.0,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.9,693.9,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,1.0,500.0,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING_TERM=200,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.3,625.9,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,200,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING_TERM=1000,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.3,504.0,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,1000,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING_TERM=5000,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.3,521.4,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,5000,1000.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG_TERM=500,Phase 1: One-at-a-time,my_track,934400.0,6,0,4.6094,1.6614,3.1412,1.5601,5.5,2.9238,5.0194,694.1,997.4,9339,0.4,100.0,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,500,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG_TERM=2000,Phase 1: One-at-a-time,my_track,751700.0,6,0,11.6575,2.6528,3.1415,1.1311,7.43,2.7927,4.6036,694.1,1105.0,7512,2.1,100.0,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,2000,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG_TERM=5000,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.7,529.2,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,5000,5.0,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS_TERM=1,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.6,569.3,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,1,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS_TERM=10,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.7,589.4,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,10,1.0,100,0.01,10,0.06,20.0
Q_PROGRESS_TERM=20,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.2,532.9,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,20,1.0,100,0.01,10,0.06,20.0
ADMM_RHO=0.1,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,16.1,548.7,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,0.1,100,0.01,10,0.06,20.0
ADMM_RHO=0.5,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.2,520.3,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,0.5,100,0.01,10,0.06,20.0
ADMM_RHO=2.0,Phase 1: One-at-a-time,my_track,75.976,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.7,532.3,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,2.0,100,0.01,10,0.06,20.0
ADMM_RHO=5.0,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.2,570.7,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,5.0,100,0.01,10,0.06,20.0
ADMM_RHO=10.0,Phase 1: One-at-a-time,my_track,75.975,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,15.5,528.3,0,0.0,1.1,OK,500.0,1000.0,100.0,10.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,500.0,1000.0,5.0,10.0,100,0.01,10,0.06,20.0
