label,phase,raceline,score,tracker_score,racer_score,passed,failed,max_contouring_err,avg_contouring_err,max_heading_err,avg_heading_err,max_vx,avg_vel,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,avg_rho,avg_rho_u,avg_adapt_updates,avg_clip_events,status,return_code,Q_CONTOURING,Q_LAG,Q_PROGRESS,Q_VX,VX_REF,Q_VY,Q_OMEGA,R_DELTA,R_AX,R_VTHETA,W_DELTA_RATE,W_AX_RATE,W_VTHETA_RATE,Q_CONTOURING_TERM,Q_LAG_TERM,Q_PROGRESS_TERM,ADMM_RHO,ADMM_MAX_ITER,ADMM_TOL,HORIZON,DT,V_THETA_MAX
Q_CONTOURING=2000,Phase 1: One-at-a-time sensitivity,my_track,1176500.0,1176500.0,1176500.0,5,1,3.3162,3.1966,2.9231,2.8209,5.31,3.34,4.457,276.9,425.9,11745,0.2,49.3,4.163,4.163,0.11,0.0,OK,1,2000,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
BASELINE,Phase 1: One-at-a-time sensitivity,my_track,30000.0,30000.0,30000.0,6,0,1.2094,0.5099,1.57,1.3956,6.56,3.1801,4.457,279.6,330.0,280,0.8,48.4,3.519,3.519,0.15,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_LAG=2500,Phase 1: One-at-a-time sensitivity,my_track,14500.0,14500.0,14500.0,5,1,1.3463,0.333,1.7632,1.5163,5.73,3.3633,4.457,215.8,340.4,125,1.1,49.6,4.784,4.784,0.93,0.0,OK,1,1000.0,2500,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_LAG=1500,Phase 1: One-at-a-time sensitivity,my_track,52400.0,52400.0,52400.0,6,0,0.8993,0.2624,1.9504,1.8133,5.61,3.5425,4.457,219.1,430.5,504,0.4,48.5,4.614,4.614,1.54,0.0,OK,0,1000.0,1500,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_LAG=350,Phase 1: One-at-a-time sensitivity,my_track,87300.0,87300.0,87300.0,6,0,1.1251,0.4823,1.5573,1.075,5.83,2.5113,4.457,269.3,372.3,853,1.2,45.6,3.62,3.62,2.69,0.0,OK,0,1000.0,350,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_LAG=500,Phase 1: One-at-a-time sensitivity,my_track,1122400.0,1122400.0,1122400.0,6,0,1.4091,1.2926,2.0666,1.8912,5.32,3.72,4.457,262.9,337.7,11204,0.3,47.4,3.526,3.526,0.16,0.0,OK,0,1000.0,500,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_PROGRESS=0.3,Phase 1: One-at-a-time sensitivity,my_track,1169900.0,1169900.0,1169900.0,4,2,1.8081,1.6975,3.1415,2.0826,4.98,2.7778,4.457,208.3,341.5,11679,0.0,49.3,1.325,1.325,0.07,0.0,OK,1,1000.0,700.0,0.3,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_PROGRESS=3.0,Phase 1: One-at-a-time sensitivity,my_track,1165200.0,1165200.0,1165200.0,4,2,1.6037,1.4785,3.1415,2.3799,4.96,2.6459,4.457,204.2,296.9,11632,0.0,49.2,1.452,1.452,0.08,0.0,OK,1,1000.0,700.0,3.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_LAG=1000,Phase 1: One-at-a-time sensitivity,my_track,1165700.0,1165700.0,1165700.0,4,2,2.2472,1.1704,2.3132,1.89,4.96,2.9649,4.457,283.0,415.4,11637,0.0,49.3,2.766,2.766,0.14,0.0,OK,1,1000.0,1000,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_LAG=5000,Phase 1: One-at-a-time sensitivity,my_track,1076900.0,1076900.0,1076900.0,6,0,1.9729,0.6133,2.8986,1.2824,5.14,3.882,4.472,282.3,353.1,10749,0.0,48.0,4.186,4.186,2.02,0.0,OK,0,1000.0,5000,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_PROGRESS=0.1,Phase 1: One-at-a-time sensitivity,my_track,1166500.0,1166500.0,1166500.0,5,1,1.9184,1.5049,3.1242,2.1406,5.02,2.7013,4.457,288.1,401.7,11645,0.0,49.2,2.447,2.447,0.06,0.0,OK,1,1000.0,700.0,0.1,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_PROGRESS=0.5,Phase 1: One-at-a-time sensitivity,my_track,1172000.0,1172000.0,1172000.0,5,1,1.9626,1.7107,3.1209,1.8014,5.0,3.0168,4.457,284.5,339.2,11700,0.1,49.3,2.261,2.261,0.07,0.0,OK,1,1000.0,700.0,0.5,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_PROGRESS=5.0,Phase 1: One-at-a-time sensitivity,my_track,1114700.0,1114700.0,1114700.0,5,1,2.6494,2.4259,1.57,0.3973,5.18,2.4909,4.457,271.6,388.7,11127,0.1,49.1,2.242,2.242,0.07,0.0,OK,1,1000.0,700.0,5.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_PROGRESS=1.0,Phase 1: One-at-a-time sensitivity,my_track,1170900.0,1170900.0,1170900.0,5,1,1.782,1.6781,3.1414,2.2223,5.06,2.6989,4.457,288.2,382.0,11689,0.2,49.3,1.31,1.31,0.06,0.0,OK,1,1000.0,700.0,1.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_PROGRESS=25.0,Phase 1: One-at-a-time sensitivity,my_track,10000.0,10000.0,10000.0,4,2,1.0565,0.3199,1.5679,1.2911,4.37,2.5863,4.457,217.3,356.9,80,0.0,49.3,10.026,10.026,6.13,0.0,OK,1,1000.0,700.0,25.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_PROGRESS=15.0,Phase 1: One-at-a-time sensitivity,my_track,163500.0,163500.0,163500.0,6,0,1.29,0.5103,1.57,1.2011,7.03,2.5402,4.457,257.0,353.9,1615,3.4,44.2,5.124,5.124,0.88,0.0,OK,0,1000.0,700.0,15.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_VY=10.0,Phase 1: One-at-a-time sensitivity,my_track,24400.0,24400.0,24400.0,5,1,0.9517,0.3989,1.57,1.4963,6.22,1.9679,4.457,220.1,396.2,224,0.5,48.9,4.037,4.037,0.14,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,10.0,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_VY=0.1,Phase 1: One-at-a-time sensitivity,my_track,1171000.0,1171000.0,1171000.0,4,2,3.0785,2.9108,2.9852,2.8452,4.94,3.6258,4.457,266.3,344.1,11690,0.0,49.2,2.078,2.078,0.1,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,0.1,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_VY=1.0,Phase 1: One-at-a-time sensitivity,my_track,1171000.0,1171000.0,1171000.0,4,2,2.586,2.4998,2.6497,2.563,4.94,2.8733,4.457,261.1,349.8,11690,0.0,49.2,2.15,2.15,0.06,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,1.0,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_VY=0.5,Phase 1: One-at-a-time sensitivity,my_track,1171600.0,1171600.0,1171600.0,4,2,1.3573,1.3192,2.3093,2.2395,4.94,2.6,4.457,284.1,1399.2,11696,0.0,49.3,4.149,4.149,0.08,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,0.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_VY=5.0,Phase 1: One-at-a-time sensitivity,my_track,1017700.0,1017700.0,1017700.0,6,0,2.4303,1.8108,2.3853,1.8761,5.9,2.3038,4.457,270.5,2062.1,10157,1.6,45.2,3.977,3.977,0.32,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,5.0,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_OMEGA=0.05,Phase 1: One-at-a-time sensitivity,my_track,77400.0,77400.0,77400.0,6,0,1.3327,0.1163,1.57,1.378,5.32,2.4404,4.4849,233.8,408.3,754,0.2,46.4,2.68,2.68,0.27,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.05,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_OMEGA=0.3,Phase 1: One-at-a-time sensitivity,my_track,127400.0,127400.0,127400.0,6,0,1.6851,0.5482,1.57,0.9761,6.03,2.7942,4.457,212.3,964.9,1254,1.0,45.1,3.173,3.173,0.55,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.3,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_OMEGA=0.5,Phase 1: One-at-a-time sensitivity,my_track,1170700.0,1170700.0,1170700.0,5,1,1.2439,1.2036,2.1179,2.0545,5.09,2.5875,4.457,238.7,415.7,11687,0.1,49.2,4.126,4.126,0.07,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,0.5,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_OMEGA=0.1,Phase 1: One-at-a-time sensitivity,my_track,47300.0,47300.0,47300.0,6,0,1.0455,0.0908,1.7524,1.4752,5.32,3.7077,4.457,266.1,625.6,453,0.2,48.2,4.413,4.413,0.23,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.1,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_OMEGA=1.0,Phase 1: One-at-a-time sensitivity,my_track,36000.0,36000.0,36000.0,6,0,0.9315,0.7707,1.57,1.0974,5.48,2.6563,4.457,289.4,849.4,340,0.2,47.9,2.264,2.264,1.94,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,1.0,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_OMEGA=3.0,Phase 1: One-at-a-time sensitivity,my_track,1167800.0,1167800.0,1167800.0,5,1,3.1484,3.0378,2.8,2.702,5.25,3.0682,4.457,225.9,491.1,11658,0.2,49.2,2.149,2.149,0.05,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,3.0,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_OMEGA=5.0,Phase 1: One-at-a-time sensitivity,my_track,1163700.0,1163700.0,1163700.0,5,1,3.2971,3.1616,1.5698,0.3275,5.63,3.463,4.457,226.6,350.7,11617,0.5,49.2,2.16,2.16,0.07,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,5.0,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
R_DELTA=0.1,Phase 1: One-at-a-time sensitivity,my_track,40800.0,40800.0,40800.0,6,0,0.9454,0.7317,1.5699,1.0255,5.48,2.6671,4.457,240.1,370.6,388,0.2,48.5,1.922,1.922,2.41,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,0.1,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
R_DELTA=1.0,Phase 1: One-at-a-time sensitivity,my_track,1158300.0,1158300.0,1158300.0,6,0,1.2908,1.194,1.2186,0.5792,7.05,4.2372,4.457,227.3,563.9,11563,1.5,48.8,2.445,2.445,0.2,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,1.0,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
R_DELTA=0.01,Phase 1: One-at-a-time sensitivity,my_track,1177800.0,1177800.0,1177800.0,5,1,1.7211,1.5718,2.4396,2.229,5.06,2.625,4.457,280.5,348.4,11758,0.1,49.4,3.325,3.325,0.09,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,0.01,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
R_DELTA=0.5,Phase 1: One-at-a-time sensitivity,my_track,1144000.0,1144000.0,1144000.0,6,0,1.0854,0.6164,1.7069,1.5784,6.05,3.888,4.457,276.3,374.9,11420,2.0,48.5,4.464,4.464,0.19,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,0.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
R_DELTA=10.0,Phase 1: One-at-a-time sensitivity,my_track,52900.0,52900.0,52900.0,6,0,1.4539,0.6955,1.5696,1.1769,6.29,3.8361,4.457,257.5,334.9,509,0.7,47.4,2.674,2.674,1.96,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,10.0,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
R_DELTA=3.0,Phase 1: One-at-a-time sensitivity,my_track,1062300.0,1062300.0,1062300.0,6,0,1.0632,0.5631,1.5699,1.1086,5.8,3.579,4.457,281.2,573.1,10603,1.1,48.1,6.591,6.591,3.46,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,3.0,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
R_VTHETA=0.1,Phase 1: One-at-a-time sensitivity,my_track,1133400.0,1133400.0,1133400.0,5,1,2.8078,0.9904,2.8695,0.9268,5.17,3.0849,4.457,247.5,339.3,11314,0.2,49.3,3.373,3.373,0.12,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,0.1,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
R_DELTA=20.0,Phase 1: One-at-a-time sensitivity,my_track,1119400.0,1119400.0,1119400.0,6,0,1.1436,1.0761,1.5669,1.0174,5.92,2.9038,4.457,279.1,406.1,11174,0.7,48.2,2.234,2.234,0.1,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,20.0,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
R_VTHETA=5.0,Phase 1: One-at-a-time sensitivity,my_track,1125700.0,1125700.0,1125700.0,5,1,0.8128,0.759,2.1051,2.0114,5.07,2.9728,4.457,206.6,405.1,11237,0.1,49.2,3.856,3.856,0.06,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,5.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
R_VTHETA=0.5,Phase 1: One-at-a-time sensitivity,my_track,25600.0,25600.0,25600.0,6,0,1.0143,0.1401,1.5698,1.4529,5.29,2.6307,4.457,282.6,892.1,236,0.2,48.1,2.238,2.238,0.12,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,0.5,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
R_VTHETA=2.0,Phase 1: One-at-a-time sensitivity,my_track,1061900.0,1061900.0,1061900.0,5,1,1.932,0.7935,3.1414,1.6843,6.1,2.7044,4.457,260.5,580.8,10599,0.3,49.2,3.296,3.296,0.1,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,2.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
R_VTHETA=10.0,Phase 1: One-at-a-time sensitivity,my_track,-3.4916,87.825,-3.4916,4,2,0.1713,0.148,1.2454,1.0396,4.23,3.4916,4.457,218.5,345.3,0,0.0,45.1,3.042,3.042,1.21,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,10.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
W_DELTA_RATE=0.1,Phase 1: One-at-a-time sensitivity,my_track,947500.0,947500.0,947500.0,6,0,1.5271,0.7561,3.1208,2.1099,6.36,2.6709,4.457,237.3,338.1,9455,1.8,44.7,3.751,3.751,0.5,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,0.1,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
W_DELTA_RATE=0.5,Phase 1: One-at-a-time sensitivity,my_track,48200.0,48200.0,48200.0,6,0,1.5157,0.5529,1.5699,1.339,5.97,2.6822,4.457,259.1,356.9,462,0.4,48.2,4.33,4.33,0.25,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,0.5,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
W_DELTA_RATE=10.0,Phase 1: One-at-a-time sensitivity,my_track,1178700.0,1178700.0,1178700.0,5,1,2.1737,2.056,2.568,2.4427,5.14,2.7435,4.457,230.3,337.0,11767,0.1,49.3,3.244,3.244,0.06,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,10.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
W_VTHETA_RATE=0.01,Phase 1: One-at-a-time sensitivity,my_track,60700.0,60700.0,60700.0,6,0,1.1416,0.3092,1.57,1.4391,5.98,4.4369,4.9024,215.2,343.5,587,0.4,47.5,3.457,3.457,2.83,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.01,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
W_DELTA_RATE=20.0,Phase 1: One-at-a-time sensitivity,my_track,1178600.0,1178600.0,1178600.0,5,1,1.8562,1.8032,2.3848,2.3095,5.16,2.6727,4.457,222.1,378.6,11766,0.1,49.4,3.317,3.317,0.06,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,20.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
W_DELTA_RATE=1.0,Phase 1: One-at-a-time sensitivity,my_track,1129500.0,1129500.0,1129500.0,6,0,2.2266,2.0372,1.4493,0.809,5.57,3.7293,4.457,279.1,400.8,11275,0.4,47.5,3.497,3.497,1.06,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,1.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
W_DELTA_RATE=5.0,Phase 1: One-at-a-time sensitivity,my_track,77900.0,77900.0,77900.0,6,0,1.4319,0.182,1.5698,1.4141,5.49,2.4376,4.457,269.3,480.8,759,0.3,46.8,3.677,3.677,0.21,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,5.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
W_VTHETA_RATE=0.05,Phase 1: One-at-a-time sensitivity,my_track,55400.0,55400.0,55400.0,6,0,1.2093,0.675,1.57,1.2128,5.32,2.6396,4.457,256.2,549.3,534,0.2,48.1,2.73,2.73,1.3,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.05,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
W_VTHETA_RATE=1.0,Phase 1: One-at-a-time sensitivity,my_track,10200.0,10200.0,10200.0,5,1,0.5636,0.5458,1.4188,1.0648,5.44,2.9012,4.457,225.0,417.4,82,0.2,48.9,2.602,2.602,0.06,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,1.0,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
W_VTHETA_RATE=0.5,Phase 1: One-at-a-time sensitivity,my_track,274000.0,274000.0,274000.0,6,0,1.4812,0.3094,3.1317,1.4929,7.33,2.4763,4.457,250.7,440.5,2720,2.0,47.7,4.184,4.184,0.34,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.5,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING_TERM=100,Phase 1: One-at-a-time sensitivity,my_track,1165800.0,1165800.0,1165800.0,5,1,3.2214,3.086,2.8057,2.6954,5.36,3.0544,4.457,261.0,468.5,11638,0.2,49.1,2.125,2.125,0.06,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,100,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING_TERM=200,Phase 1: One-at-a-time sensitivity,my_track,1177600.0,1177600.0,1177600.0,5,1,1.8878,1.8261,1.5617,1.1366,5.08,1.9907,4.457,261.6,354.8,11756,0.1,49.3,2.133,2.133,0.08,0.0,OK,1,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,200,950.0,5.0,17.0,50,0.05,7,0.035,10.0
