wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1779177354865699631,1779177354860364203,0.741,2000,2.020,1.010,3.031,1.536,0.023,4.590
1779177354896053025,1779177354890386357,0.270,2000,2.615,0.646,3.261,1.942,0.187,5.390
1779177354917167982,1779177354910375109,0.304,2000,2.336,2.374,4.710,1.692,0.080,6.482
1779177354940118312,1779177354933028632,0.261,2000,2.481,3.015,5.495,1.189,0.138,6.822
1779177354965650306,1779177354960440833,0.720,2000,1.986,0.580,2.566,1.303,0.612,4.482
1779177354995577545,1779177354990375112,0.377,2000,2.281,1.054,3.335,1.436,0.048,4.819
1779177355015157039,1779177355010353080,0.290,2000,2.293,0.752,3.045,1.310,0.152,4.508
1779177355045452350,1779177355040394432,0.705,2000,1.962,0.770,2.732,1.469,0.146,4.347
1779177355065576400,1779177355060431409,0.360,2000,2.488,0.985,3.473,1.145,0.161,4.779
1779177355095206158,1779177355090367030,0.555,2000,1.986,1.112,3.097,1.012,0.169,4.278
1779177355115802445,1779177355110594604,0.758,2000,1.961,0.879,2.841,1.505,0.099,4.444
1779177355145462252,1779177355140365613,0.205,2000,3.022,0.392,3.414,1.452,0.022,4.887
1779177355165324536,1779177355160419166,0.621,2000,2.217,0.631,2.848,1.384,0.047,4.280
1779177355196210549,1779177355190360580,0.283,2000,2.479,0.795,3.274,1.464,0.821,5.559
1779177355216307719,1779177355210353139,0.244,2000,3.031,0.907,3.937,1.618,0.149,5.704
1779177355245806498,1779177355240385660,0.254,2000,2.385,1.087,3.472,1.642,0.049,5.162
1779177355265407400,1779177355260392427,0.183,2000,3.053,0.073,3.126,1.655,0.046,4.826
1779177355295530290,1779177355290494837,0.197,2000,2.501,0.590,3.091,1.588,0.152,4.831
1779177355315371262,1779177355310579239,0.218,2000,2.628,0.538,3.165,1.291,0.111,4.568
1779177355345658700,1779177355340387593,0.222,2000,2.610,0.940,3.550,1.360,0.131,5.041
1779177355365662140,1779177355360369081,0.201,2000,2.297,1.418,3.715,1.191,0.179,5.085
1779177355395132822,1779177355390364128,0.202,2000,2.298,0.828,3.126,1.122,0.313,4.560
1779177355415454061,1779177355410379440,0.225,2000,2.237,1.066,3.303,1.353,0.187,4.843
1779177355446547536,1779177355440362103,0.696,2000,2.245,2.199,4.443,0.891,0.149,5.483
1779177355465692362,1779177355460580108,0.229,2000,2.427,0.683,3.110,1.405,0.361,4.877
1779177355495811541,1779177355490404847,0.459,2000,2.504,0.955,3.460,1.209,0.273,4.942
1779177355515064114,1779177355510377182,0.266,2000,2.662,0.327,2.990,1.226,0.198,4.413
1779177355546030193,1779177355540367525,0.634,2000,2.672,0.955,3.627,1.234,0.162,5.023
1779177355565384881,1779177355560368084,0.842,2000,2.531,0.173,2.704,1.419,0.046,4.169
1779177355596242701,1779177355590657155,0.370,2000,2.231,0.808,3.039,2.145,0.026,5.210
1779177355615909268,1779177355610354955,0.252,2000,2.394,1.183,3.577,1.429,0.289,5.295
1779177355645555123,1779177355640391219,0.213,2000,2.642,0.924,3.566,1.244,0.134,4.944
1779177355695400806,1779177355690425899,0.273,2000,2.363,0.832,3.194,1.483,0.020,4.697
1779177355745323739,1779177355740578725,0.723,2000,1.915,0.810,2.725,1.135,0.156,4.016
1779177355795166670,1779177355790360279,0.212,2000,2.810,0.465,3.275,1.103,0.209,4.588
1779177355815471205,1779177355810359495,0.487,2000,2.224,0.839,3.063,1.335,0.218,4.616
1779177355845586383,1779177355840410191,0.290,2000,2.403,0.645,3.048,1.806,0.027,4.881
1779177355865699234,1779177355860415487,0.280,2000,2.653,0.777,3.430,1.470,0.097,4.997
