monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_long_window_percent,gpu_percent
1403457237075,1779177426,992266354,38.530,39.000
1404283230380,1779177427,818111880,42.030,39.000
1405283228755,1779177428,818110511,42.668,38.000
1406283227468,1779177429,818109705,44.073,0.000
1407283233498,1779177430,818115158,40.976,39.000
1408283230044,1779177431,818112088,39.244,0.000
1409283233202,1779177432,818114702,41.700,0.000
1410283230556,1779177433,818111832,40.458,39.000
1411283231674,1779177434,818112886,42.819,0.000
1412283282254,1779177435,818163499,43.884,0.000
1413283227221,1779177436,818109073,40.854,39.000
1414283234162,1779177437,818115950,40.732,38.000
1415283228324,1779177438,818110016,42.780,39.000
1416283230348,1779177439,818111976,40.389,0.000
1417283227305,1779177440,818108933,40.469,0.000
1418283231099,1779177441,818112599,41.489,0.000
1419283231171,1779177442,818112831,38.386,0.000
1420283227106,1779177443,818108382,36.707,39.000
1421283229654,1779177444,818111730,42.098,0.000
1422283231905,1779177445,818113821,38.929,40.000
1423283229442,1779177446,818111678,39.019,38.000
1424283228250,1779177447,818109846,41.674,38.000
1425283231944,1779177448,818113508,40.864,38.000
1426283230094,1779177449,818111626,42.536,0.000
1427283228042,1779177450,818109478,42.585,38.000
1428283234430,1779177451,818116058,43.118,0.000
1429283233738,1779177452,818115302,42.075,0.000
1430283232972,1779177453,818115049,41.419,39.000
1431283229383,1779177454,818111779,40.729,40.000
1432283228025,1779177455,818109846,39.734,38.000
1433283227652,1779177456,818109248,39.818,38.000
1434283301032,1779177457,818182756,39.087,38.000
1435283232258,1779177458,818114558,38.307,38.000
1436283229078,1779177459,818111378,37.578,0.000
1437759997248,1779177461,295033375,36.835,0.000
1438283228903,1779177461,818111395,37.295,33.000
1439283231461,1779177462,818113858,37.619,26.000
1440283233053,1779177463,818115545,36.317,25.000
1441283232525,1779177464,818114313,38.016,31.000
1442283229655,1779177465,818111859,36.853,38.000
1443283231195,1779177466,818113559,35.701,38.000
1444283230712,1779177467,818113108,35.991,39.000
1445283266064,1779177468,818147628,36.004,38.000
1446283229857,1779177469,818111837,37.301,40.000
1447283228076,1779177470,818109672,37.194,38.000
1448283263699,1779177471,818144847,34.211,40.000
