monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_core_0_percent,cpu_core_1_percent,cpu_core_2_percent,cpu_core_3_percent,cpu_core_4_percent,cpu_core_5_percent
1434083229550,1779177457,618111242,0.000,0.000,100.000,0.000,100.000,0.000
1434103263995,1779177457,638146199,0.000,0.000,50.000,100.000,0.000,0.000
1434123233830,1779177457,658115427,0.000,0.000,50.000,0.000,0.000,100.000
1434143233170,1779177457,678114543,50.000,0.000,50.000,0.000,100.000,0.000
1434163228094,1779177457,698110043,0.000,50.000,50.000,50.000,0.000,0.000
1434183232619,1779177457,718114983,66.667,0.000,0.000,0.000,0.000,0.000
1434203278808,1779177457,738160852,100.000,0.000,50.000,50.000,0.000,0.000
1434223228067,1779177457,758110239,50.000,0.000,50.000,0.000,50.000,50.000
1434243226639,1779177457,778108107,0.000,0.000,100.000,0.000,0.000,0.000
1434263232667,1779177457,798114679,50.000,0.000,50.000,0.000,50.000,50.000
1434283301032,1779177457,818182756,0.000,0.000,50.000,100.000,0.000,100.000
1434303231411,1779177457,838112975,100.000,50.000,50.000,0.000,100.000,0.000
1434323226367,1779177457,858107995,50.000,50.000,100.000,100.000,0.000,100.000
1434343230123,1779177457,878111975,0.000,0.000,50.000,0.000,0.000,0.000
1434363227287,1779177457,898109011,0.000,50.000,50.000,50.000,0.000,50.000
1434383230083,1779177457,918111679,50.000,50.000,100.000,100.000,0.000,50.000
1434403229327,1779177457,938111083,0.000,50.000,100.000,0.000,50.000,0.000
1434423231419,1779177457,958113304,100.000,100.000,50.000,50.000,66.667,100.000
1434444774502,1779177457,979656514,50.000,100.000,50.000,0.000,0.000,0.000
1434463235540,1779177457,998117936,100.000,0.000,100.000,0.000,0.000,0.000
1434483282400,1779177458,18162428,0.000,50.000,100.000,66.667,0.000,100.000
1434503261675,1779177458,38144423,50.000,0.000,100.000,50.000,100.000,50.000
1434523230390,1779177458,58112434,0.000,0.000,0.000,0.000,0.000,50.000
1434543233953,1779177458,78116349,50.000,50.000,100.000,0.000,0.000,100.000
1434563227916,1779177458,98109800,0.000,50.000,66.667,0.000,50.000,50.000
