monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_short_window_percent,gpu_percent
1344683291744,1779177368,218170493,33.714,39.000
1344703230240,1779177368,238111996,35.214,39.000
1344723229952,1779177368,258111036,37.208,39.000
1344743232065,1779177368,278113501,38.048,0.000
1344763234209,1779177368,298115422,38.048,0.000
1344783229218,1779177368,318111006,40.262,39.000
1344803231330,1779177368,338112671,41.929,39.000
1344823228419,1779177368,358109727,41.881,39.000
1344843228388,1779177368,378109344,42.056,39.000
1344863228452,1779177368,398110048,44.481,39.000
1344883227141,1779177368,418108513,40.455,39.000
1344903228485,1779177368,438109857,40.000,0.000
1344923208133,1779177368,458089985,38.286,0.000
1344943227622,1779177368,478109250,39.321,38.000
1344963231559,1779177368,498112931,40.076,38.000
1344983226919,1779177368,518108292,39.702,7.000
1345003226696,1779177368,538107940,41.988,7.000
1345023226377,1779177368,558107909,43.626,40.000
1345043227113,1779177368,578108389,44.123,40.000
1345063232682,1779177368,598114566,42.229,39.000
1345083285868,1779177368,618164744,38.452,39.000
1345103227147,1779177368,638108679,36.667,0.000
1345123231948,1779177368,658112808,36.364,0.000
1345143226988,1779177368,678108200,38.381,0.000
1345163226541,1779177368,698107465,38.500,0.000
1345183226349,1779177368,718107529,39.167,39.000
1345203231054,1779177368,738112202,36.818,39.000
1345223228174,1779177368,758109194,37.286,39.000
1345243229711,1779177368,778111499,36.320,39.000
1345263227439,1779177368,798109164,33.619,20.000
1345283232656,1779177368,818114092,35.952,20.000
1345303227697,1779177368,838108909,37.952,39.000
1345323227185,1779177368,858108301,39.697,39.000
1345343233042,1779177368,878114766,41.905,14.000
1345363231474,1779177368,898113039,43.381,14.000
1345383227635,1779177368,918108975,42.548,32.000
1345403227315,1779177368,938108432,40.498,32.000
1345423233908,1779177368,958115696,37.684,39.000
1345443230229,1779177368,978111505,40.411,39.000
1345463226677,1779177368,998107953,36.786,39.000
1345483295222,1779177369,18174451,33.952,39.000
1345503224276,1779177369,38105968,35.411,0.000
1345523228116,1779177369,58109296,36.000,0.000
1345543225811,1779177369,78107727,40.429,39.000
1345563230931,1779177369,98112463,40.581,39.000
1345583229458,1779177369,118110830,44.925,38.000
1345603231314,1779177369,138113486,46.877,38.000
1345623227601,1779177369,158109005,46.252,13.000
1345643226320,1779177369,178107885,42.405,13.000
1345663228016,1779177369,198109644,41.905,39.000
1345683234031,1779177369,218113804,41.429,39.000
1345703228111,1779177369,238109803,39.004,38.000
1345723226734,1779177369,258108170,38.290,38.000
1345743229486,1779177369,278110794,39.091,0.000
1345763230829,1779177369,298112649,39.697,0.000
1345783232845,1779177369,318114281,40.000,39.000
1345803232908,1779177369,338114760,40.227,39.000
1345823227787,1779177369,358109032,39.798,38.000
1345843264556,1779177369,378145928,40.583,38.000
1345863228042,1779177369,398109574,39.917,39.000
1345883227242,1779177369,418108454,42.955,39.000
1345903230121,1779177369,438111877,45.455,0.000
1345923231017,1779177369,458112645,46.061,0.000
1345943248265,1779177369,478130021,48.182,38.000
1345963230952,1779177369,498112292,48.182,38.000
1345983229447,1779177369,518111427,47.333,38.000
1346003251591,1779177369,538132867,41.000,38.000
1346023224934,1779177369,558106274,40.909,33.000
1346043230213,1779177369,578111842,42.250,33.000
1346063227429,1779177369,598108609,41.536,39.000
1346083257541,1779177369,618137313,42.305,39.000
1346103235492,1779177369,638117280,43.536,0.000
1346123232387,1779177369,658113407,44.536,0.000
1346143227523,1779177369,678109055,45.898,0.000
1346163241602,1779177369,698123487,41.952,0.000
1346183227745,1779177369,718109886,39.654,38.000
1346203228641,1779177369,738110109,38.571,38.000
1346223922545,1779177369,758804365,37.944,38.000
1346243228128,1779177369,778109884,39.729,38.000
1346263227871,1779177369,798109371,39.729,38.000
1346283227807,1779177369,818109563,37.911,38.000
1346303226846,1779177369,838108058,40.335,38.000
1346323227902,1779177369,858109146,40.083,38.000
1346343228637,1779177369,878110137,39.619,32.000
1346363227292,1779177369,898108377,40.952,32.000
1346383228604,1779177369,918110040,45.619,38.000
1346403254652,1779177369,938136184,41.320,38.000
1346423231259,1779177369,958113463,39.957,38.000
1346443293948,1779177369,978174552,37.048,38.000
1346463231418,1779177369,998112630,38.714,38.000
1346483231480,1779177370,18111285,37.013,38.000
1346503227991,1779177370,38109715,36.667,0.000
1346523231093,1779177370,58112369,39.167,0.000
1346543228371,1779177370,78109839,40.452,0.000
1346563259890,1779177370,98140847,37.381,0.000
1346583380884,1779177370,118262032,38.405,0.000
1346603227886,1779177370,138109386,37.452,0.000
1346623233741,1779177370,158115497,40.667,19.000
1346643228971,1779177370,178110567,42.727,19.000
1346663227913,1779177370,198109477,38.442,39.000
1346683226952,1779177370,218108420,41.126,39.000
1346703228230,1779177370,238109570,41.169,39.000
1346723231044,1779177370,258112896,40.286,39.000
1346743227971,1779177370,278109183,39.667,0.000
1346763229313,1779177370,298110685,40.909,0.000
1346783471653,1779177370,318353313,40.381,0.000
1346803227486,1779177370,338108858,38.714,0.000
1346823313406,1779177370,358194842,40.000,39.000
1346843226650,1779177370,378107702,40.000,39.000
1346863227033,1779177370,398108917,40.346,39.000
1346883226903,1779177370,418108211,38.095,39.000
1346903233109,1779177370,438114769,38.268,0.000
1346923250996,1779177370,458132016,38.874,0.000
1346943232882,1779177370,478114734,38.762,0.000
1346963485686,1779177370,498367027,41.333,0.000
1346983233263,1779177370,518114987,41.472,0.000
1347003231117,1779177370,538112489,42.186,0.000
1347023228075,1779177370,558109607,42.143,0.000
1347043226793,1779177370,578108262,43.701,0.000
1347063227944,1779177370,598109732,42.357,39.000
1347083226918,1779177370,618108578,40.357,39.000
1347103227332,1779177370,638109313,41.082,0.000
1347123228867,1779177370,658110847,41.126,0.000
1347143227457,1779177370,678108829,39.524,0.000
1347163227359,1779177370,698108828,36.580,0.000
1347183230782,1779177370,718112058,34.762,0.000
1347203227580,1779177370,738108888,33.286,0.000
1347223229851,1779177370,758111543,34.000,39.000
1347243232697,1779177370,778113909,34.026,39.000
1347263227863,1779177370,798108979,37.922,39.000
1347283228053,1779177370,818109746,38.225,39.000
1347303417400,1779177370,838298740,39.242,25.000
1347323231474,1779177370,858112910,40.758,25.000
1347343231921,1779177370,878113517,39.655,0.000
1347363227087,1779177370,898108715,34.869,0.000
1347383227501,1779177370,918109257,35.536,0.000
1347403231628,1779177370,938112872,34.821,0.000
1347423270475,1779177370,958152231,37.798,0.000
1347443224872,1779177370,978106244,37.998,0.000
1347463232167,1779177370,998113731,34.892,0.000
1347483225764,1779177371,18107104,40.346,0.000
1347503234273,1779177371,38115837,37.662,39.000
1347523227070,1779177371,58108442,36.333,39.000
1347543227324,1779177371,78109112,36.364,39.000
1347563227033,1779177371,98108309,36.000,39.000
1347583190869,1779177371,118073137,35.758,25.000
1347603278068,1779177371,138159697,35.758,25.000
1347623228080,1779177371,158109453,37.273,39.000
1347643228654,1779177371,178110538,36.333,39.000
1347663256620,1779177371,198138568,37.500,25.000
1347683225544,1779177371,218107428,37.500,25.000
1347703227717,1779177371,238109185,34.848,39.000
1347723235043,1779177371,258116479,37.048,39.000
1347743228096,1779177371,278109820,40.173,39.000
1347763233629,1779177371,298115033,39.357,39.000
1347783227386,1779177371,318108886,42.738,0.000
1347803227255,1779177371,338109267,44.156,0.000
1347823232821,1779177371,358114641,47.186,38.000
1347843227154,1779177371,378108878,45.714,38.000
1347863227919,1779177371,398109323,43.983,38.000
1347883226988,1779177371,418108680,43.333,38.000
1347903229353,1779177371,438110822,42.667,0.000
1347923226631,1779177371,458107939,43.290,0.000
1347943227812,1779177371,478109280,39.502,38.000
1347963226209,1779177371,498107773,42.452,38.000
1347983245343,1779177371,518127515,37.452,38.000
1348003348702,1779177371,538229979,35.790,38.000
1348023283802,1779177371,558164694,36.869,0.000
1348043287575,1779177371,578168595,31.369,0.000
1348063233555,1779177371,598115343,31.369,38.000
1348083232048,1779177371,618113389,36.050,38.000
1348103242190,1779177371,638124138,35.519,0.000
1348123316141,1779177371,658197929,37.641,0.000
1348143260201,1779177371,678141637,39.913,0.000
1348163317607,1779177371,698199364,41.905,0.000
1348183228066,1779177371,718109951,41.126,38.000
1348203257952,1779177371,738139133,39.351,38.000
1348223227325,1779177371,758108665,42.078,38.000
1348243290940,1779177371,778172312,41.702,38.000
1348263231863,1779177371,798114004,41.548,38.000
1348283271414,1779177371,818153010,39.426,38.000
1348303227090,1779177371,838108142,41.245,20.000
1348323227983,1779177371,858109803,41.591,20.000
1348343227948,1779177371,878109480,41.331,39.000
1348363258858,1779177371,898140262,37.952,39.000
1348383271400,1779177371,918153092,39.004,0.000
1348403227044,1779177371,938108512,38.571,0.000
1348423229121,1779177371,958110813,37.857,0.000
1348443289728,1779177371,978171260,35.173,0.000
1348463228027,1779177371,998109496,34.307,0.000
1348483228408,1779177372,18109812,39.502,0.000
1348503232596,1779177372,38114384,37.121,39.000
1348523233328,1779177372,58114988,39.833,39.000
1348543225036,1779177372,78107400,39.500,39.000
1348563228360,1779177372,98109732,42.952,39.000
1348583228036,1779177372,118109216,40.286,26.000
1348603228064,1779177372,138109405,42.565,26.000
1348623228029,1779177372,158109785,44.816,0.000
1348643231001,1779177372,178112405,42.392,0.000
1348663226549,1779177372,198107569,38.799,0.000
1348683246705,1779177372,218126669,39.405,0.000
1348703229389,1779177372,238111017,34.810,0.000
1348723231209,1779177372,258119205,38.918,0.000
1348743232933,1779177372,278114785,38.182,40.000
1348763260866,1779177372,298142078,40.108,40.000
1348783229213,1779177372,318110682,40.119,0.000
1348803227322,1779177372,338108662,41.452,0.000
1348823228566,1779177372,358110066,37.452,0.000
1348843255570,1779177372,378136943,41.619,0.000
1348863228238,1779177372,398109802,39.654,0.000
1348883261035,1779177372,418140679,37.273,0.000
1348903232326,1779177372,438113922,36.667,40.000
1348923251907,1779177372,458133599,41.250,40.000
