# x_m, y_m, w_tr_right_m, w_tr_left_m
7.156256, 3.667666, 1.2388, 1.5421
7.156962, 3.587734, 1.2291, 1.5658
7.154897, 3.507826, 1.2192, 1.5929
7.149934, 3.428046, 1.2088, 1.6210
7.141968, 3.348509, 1.1977, 1.6398
7.130919, 3.269342, 1.1861, 1.6255
7.116733, 3.190677, 1.1739, 1.5723
7.099387, 3.112647, 1.1606, 1.5193
7.078885, 3.035387, 1.1464, 1.4741
7.055258, 2.959024, 1.1312, 1.4287
7.028563, 2.883679, 1.1147, 1.3802
6.998876, 2.809462, 1.0968, 1.3295
6.966291, 2.736471, 1.0774, 1.2788
6.930913, 2.664791, 1.0566, 1.2297
6.892859, 2.594496, 1.0344, 1.1828
6.852250, 2.525645, 1.0108, 1.1385
6.809209, 2.458287, 0.9860, 1.0971
6.763861, 2.392460, 0.9601, 1.0590
6.716329, 2.328192, 0.9336, 1.0241
6.666734, 2.265502, 0.9068, 0.9920
6.615193, 2.204402, 0.8800, 0.9613
6.561820, 2.144896, 0.8534, 0.9312
6.506724, 2.086981, 0.8274, 0.9009
6.450012, 2.030647, 0.8023, 0.8702
6.391788, 1.975876, 0.7783, 0.8394
6.332154, 1.922646, 0.7560, 0.8091
6.271207, 1.870923, 0.7351, 0.7804
6.209045, 1.820666, 0.7160, 0.7546
6.145763, 1.771827, 0.6988, 0.7324
6.081455, 1.724347, 0.6836, 0.7135
6.016214, 1.678157, 0.6708, 0.6978
5.950131, 1.633179, 0.6606, 0.6851
5.883298, 1.589325, 0.6532, 0.6755
5.815801, 1.546499, 0.6485, 0.6687
5.747728, 1.504594, 0.6465, 0.6642
5.679162, 1.463499, 0.6472, 0.6614
5.610188, 1.423096, 0.6512, 0.6599
5.540882, 1.383262, 0.6577, 0.6591
5.471322, 1.343873, 0.6668, 0.6584
5.401581, 1.304808, 0.6786, 0.6573
5.331727, 1.265944, 0.6926, 0.6556
5.261824, 1.227168, 0.7093, 0.6531
5.191931, 1.188374, 0.7285, 0.6501
5.122102, 1.149465, 0.7500, 0.6478
5.052382, 1.110360, 0.7733, 0.6477
4.982812, 1.070991, 0.7979, 0.6525
4.913419, 1.031308, 0.8233, 0.6651
4.844225, 0.991281, 0.8493, 0.6895
4.775239, 0.950897, 0.8755, 0.7279
4.706458, 0.910163, 0.9016, 0.7800
4.637869, 0.869108, 0.9271, 0.8402
4.569447, 0.827775, 0.9520, 0.9009
4.501154, 0.786230, 0.9764, 0.9591
4.432942, 0.744550, 1.0007, 1.0149
4.364756, 0.702828, 1.0249, 1.0693
4.296532, 0.661170, 1.0488, 1.1226
4.228198, 0.619691, 1.0722, 1.1745
4.159683, 0.578512, 1.0947, 1.2244
4.090913, 0.537761, 1.1162, 1.2715
4.021815, 0.497568, 1.1364, 1.3140
3.952321, 0.458064, 1.1553, 1.3490
3.882370, 0.419375, 1.1729, 1.3736
3.811909, 0.381624, 1.1893, 1.3868
3.740893, 0.344927, 1.2046, 1.3895
3.669290, 0.309390, 1.2191, 1.3845
3.597079, 0.275105, 1.2329, 1.3757
3.524250, 0.242152, 1.2462, 1.3664
3.450806, 0.210596, 1.2592, 1.3584
3.376757, 0.180485, 1.2718, 1.3530
3.302125, 0.151850, 1.2839, 1.3504
3.226938, 0.124706, 1.2953, 1.3500
3.151230, 0.099052, 1.3057, 1.3507
3.075038, 0.074870, 1.3150, 1.3510
2.998404, 0.052131, 1.3231, 1.3500
2.921368, 0.030792, 1.3299, 1.3476
2.843971, 0.010801, 1.3354, 1.3443
2.766254, -0.007905, 1.3397, 1.3407
2.688253, -0.025394, 1.3428, 1.3371
2.610005, -0.041738, 1.3447, 1.3337
2.531541, -0.057016, 1.3457, 1.3306
2.452892, -0.071307, 1.3460, 1.3275
2.374083, -0.084692, 1.3457, 1.3246
2.295139, -0.097251, 1.3456, 1.3223
2.216079, -0.109067, 1.3460, 1.3215
2.136924, -0.120219, 1.3472, 1.3227
2.057687, -0.130784, 1.3499, 1.3259
1.978385, -0.140839, 1.3536, 1.3303
1.899028, -0.150456, 1.3582, 1.3352
1.819628, -0.159708, 1.3631, 1.3401
1.740193, -0.168661, 1.3679, 1.3448
1.660733, -0.177379, 1.3719, 1.3491
1.581253, -0.185925, 1.3749, 1.3529
