x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m; kappa_racetraj_radpm; vx_racetraj_mps
17.6285; -6.3247; 0.4421; 1.1119; -3.0820; 26.2868; -0.0347; 2.5000
17.4491; -6.3331; 0.4416; 0.9681; -3.1118; 26.4664; -0.0483; 2.5000
17.2725; -6.3353; 0.5161; 0.8224; 3.1323; 26.6431; -0.0617; 2.5000
17.0964; -6.3298; 0.6033; 0.7491; 3.0866; 26.8192; -0.0673; 2.5000
16.9194; -6.3159; 0.6369; 0.6725; 3.0440; 26.9968; -0.0528; 2.5000
16.7413; -6.2951; 0.7384; 0.6673; 3.0127; 27.1761; -0.0350; 2.5000
16.5628; -6.2696; 0.7502; 0.6199; 2.9931; 27.3564; -0.0195; 2.5000
16.3842; -6.2416; 0.8419; 0.6010; 2.9794; 27.5372; -0.0184; 2.5000
16.2059; -6.2112; 0.9170; 0.5562; 2.9630; 27.7181; -0.0270; 2.5000
16.0281; -6.1773; 1.0069; 0.5571; 2.9403; 27.8991; -0.0356; 2.5000
15.8510; -6.1388; 1.2100; 0.5535; 2.9134; 28.0803; -0.0385; 2.5000
15.6744; -6.0952; 1.3178; 0.5189; 2.8880; 28.2622; -0.0310; 2.5000
15.4969; -6.0470; 1.3588; 0.4576; 2.8684; 28.4462; -0.0221; 2.5000
15.3172; -5.9951; 1.5541; 0.4165; 2.8543; 28.6332; -0.0158; 2.5000
15.1347; -5.9400; 1.7080; 0.5077; 2.8395; 28.8238; -0.0231; 2.5000
14.9533; -5.8817; 2.4127; 0.4941; 2.8170; 29.0143; -0.0369; 2.5000
14.7781; -5.8200; 1.4266; 0.5530; 2.7832; 29.2001; -0.0560; 2.5000
14.6141; -5.7547; 1.2160; 0.5502; 2.7400; 29.3766; -0.0671; 2.5000
14.4618; -5.6857; 1.0301; 0.5658; 2.6966; 29.5439; -0.0609; 2.5000
14.3175; -5.6132; 0.9298; 0.5926; 2.6613; 29.7053; -0.0471; 2.5000
14.1774; -5.5375; 0.8392; 0.6449; 2.6383; 29.8645; -0.0241; 2.5000
14.0374; -5.4590; 0.7008; 0.6550; 2.6338; 30.0251; 0.0094; 2.5000
13.8917; -5.3785; 0.6753; 0.6435; 2.6502; 30.1915; 0.0379; 2.5000
13.7348; -5.2971; 0.5251; 0.6938; 2.6820; 30.3682; 0.0502; 2.5000
13.5623; -5.2155; 0.4237; 0.7245; 2.7088; 30.5591; 0.0227; 2.5000
13.3803; -5.1333; 0.4148; 0.7432; 2.7125; 30.7588; -0.0125; 2.5000
13.1998; -5.0497; 0.4060; 0.8027; 2.6886; 30.9577; -0.0501; 2.5000
13.0317; -4.9636; 0.3630; 0.8340; 2.6436; 31.1466; -0.0708; 2.5000
12.8789; -4.8752; 0.3859; 0.8732; 2.6007; 31.3231; -0.0475; 2.5000
12.7351; -4.7855; 0.3869; 0.9337; 2.5808; 31.4926; -0.0095; 2.5000
12.5932; -4.6958; 0.3998; 0.9674; 2.5850; 31.6605; 0.0218; 2.5000
12.4479; -4.6068; 0.4209; 1.0260; 2.5980; 31.8308; 0.0166; 2.5000
12.2994; -4.5182; 0.4428; 1.0616; 2.6053; 32.0038; 0.0046; 2.5000
12.1490; -4.4291; 0.4635; 1.0896; 2.6047; 32.1786; -0.0062; 2.5000
11.9980; -4.3389; 0.5098; 1.1389; 2.5981; 32.3545; -0.0128; 2.5000
11.8481; -4.2473; 0.5807; 1.2413; 2.5876; 32.5302; -0.0171; 2.5000
11.7005; -4.1548; 0.6049; 1.3164; 2.5741; 32.7043; -0.0220; 2.5000
11.5568; -4.0616; 0.7116; 1.3997; 2.5627; 32.8756; -0.0109; 2.5000
11.4152; -3.9684; 0.8246; 1.4656; 2.5688; 33.0452; 0.0282; 2.5000
11.2691; -3.8761; 1.0353; 1.5034; 2.6012; 33.2179; 0.0628; 2.5000
