x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m
7.9597; -2.4005; 0.8167; 1.3155; 0.0000; 36.8542
7.7660; -2.3618; 0.8122; 1.3223; 0.0000; 37.0518
7.5834; -2.3289; 0.7502; 1.3065; 0.0000; 37.2373
7.4110; -2.2996; 0.7479; 1.4150; 0.0000; 37.4121
7.2425; -2.2704; 0.6895; 1.4509; 0.0000; 37.5832
7.0713; -2.2376; 0.7187; 1.4763; 0.0000; 37.7575
6.8946; -2.2008; 0.6967; 1.5003; 0.0000; 37.9380
6.7146; -2.1644; 0.6513; 1.5861; 0.0000; 38.1217
6.5340; -2.1333; 0.6186; 1.5876; 0.0000; 38.3049
6.3553; -2.1106; 0.5917; 1.6233; 0.0000; 38.4851
6.1784; -2.0924; 0.5371; 1.7088; 0.0000; 38.6629
6.0028; -2.0728; 0.5249; 1.7585; 0.0000; 38.8395
5.8282; -2.0461; 0.5222; 1.7766; 0.0000; 39.0162
5.6537; -2.0127; 0.4568; 1.8922; 0.0000; 39.1938
5.4788; -1.9777; 0.4373; 1.9191; 0.0000; 39.3722
5.3025; -1.9463; 0.4300; 1.9601; 0.0000; 39.5512
5.1243; -1.9217; 0.3978; 2.0159; 0.0000; 39.7312
4.9433; -1.9026; 0.4106; 1.9309; 0.0000; 39.9132
4.7586; -1.8872; 0.3986; 2.0088; 0.0000; 40.0985
4.5696; -1.8737; 0.3593; 1.8848; 0.0000; 40.2880
4.3764; -1.8605; 0.3787; 1.5401; 0.0000; 40.4816
4.1794; -1.8463; 0.3502; 1.4725; 0.0000; 40.6791
3.9790; -1.8297; 0.3809; 1.4112; 0.0000; 40.8802
3.7731; -1.8105; 0.4089; 1.2998; 0.0000; 41.0870
3.5573; -1.7901; 0.4012; 1.2759; 0.0000; 41.3038
3.3271; -1.7700; 0.4214; 1.1496; 0.0000; 41.5349
3.0809; -1.7505; 0.4178; 1.1085; 0.0000; 41.7818
2.8269; -1.7288; 0.4155; 1.0717; 0.0000; 42.0368
2.5747; -1.7014; 0.4527; 1.0083; 0.0000; 42.2905
2.3333; -1.6656; 0.4565; 0.9805; 0.0000; 42.5345
2.1047; -1.6258; 0.4783; 0.9894; 0.0000; 42.7666
1.8869; -1.5899; 0.4391; 0.9726; 0.0000; 42.9873
1.6781; -1.5662; 0.4946; 0.9899; 0.0000; 43.1975
1.4779; -1.5573; 0.5219; 0.9376; 0.0000; 43.3978
1.2882; -1.5585; 0.5189; 0.9425; 0.0000; 43.5875
1.1113; -1.5646; 0.5212; 0.9248; 0.0000; 43.7645
0.9482; -1.5708; 0.6371; 0.8835; 0.0000; 43.9277
0.7962; -1.5758; 0.6743; 0.8860; 0.0000; 44.0799
0.6513; -1.5789; 0.7058; 0.8483; 0.0000; 44.2247
0.5099; -1.5799; 0.7433; 0.8879; 0.0000; 44.3662
0.3685; -1.5842; 0.9056; 0.8045; 0.0000; 44.5076
0.2241; -1.6018; 0.9171; 0.7724; 0.0000; 44.6531
0.0737; -1.6426; 0.9640; 0.7931; 0.0000; 44.8089
-0.0829; -1.7110; 0.9826; 0.7553; 0.0000; 44.9798
-0.2405; -1.8012; 1.2354; 0.6511; 0.0000; 45.1614
-0.3931; -1.9059; 1.3212; 0.5962; 0.0000; 45.3464
-0.5353; -2.0188; 1.4306; 0.5762; 0.0000; 45.5280
-0.6652; -2.1396; 1.5324; 0.4823; 0.0000; 45.7054
-0.7819; -2.2703; 1.5975; 0.4228; 0.0000; 45.8806
-0.8845; -2.4128; 1.6632; 0.3674; 0.0000; 46.0562
-0.9712; -2.5670; 1.7269; 0.3476; 0.0000; 46.2331
-1.0389; -2.7309; 1.7303; 0.2766; 0.0000; 46.4104
-1.0845; -2.9024; 1.7276; 0.2918; 0.0000; 46.5879
-1.1061; -3.0791; 1.6807; 0.2766; 0.0000; 46.7659
-1.1040; -3.2583; 1.7188; 0.3475; 0.0000; 46.9451
-1.0793; -3.4370; 1.7182; 0.3771; 0.0000; 47.1255
-1.0332; -3.6121; 1.7808; 0.4345; 0.0000; 47.3066
-0.9689; -3.7806; 1.6461; 0.5155; 0.0000; 47.4869
-0.8904; -3.9390; 1.6002; 0.5547; 0.0000; 47.6637
-0.8019; -4.0841; 1.5717; 0.6091; 0.0000; 47.8337
-0.7029; -4.2154; 1.5214; 0.6407; 0.0000; 47.9982
-0.5867; -4.3358; 1.2207; 0.6964; 0.0000; 48.1654
-0.4465; -4.4484; 1.1065; 0.7267; 0.0000; 48.3453
-0.2788; -4.5553; 0.9588; 0.7554; 0.0000; 48.5442
-0.0933; -4.6539; 0.7852; 0.8164; 0.0000; 48.7543
0.0969; -4.7402; 0.7168; 0.8614; 0.0000; 48.9631
0.2800; -4.8108; 0.6417; 0.8598; 0.0000; 49.1594
0.4595; -4.8687; 0.5409; 0.9077; 0.0000; 49.3479
0.6493; -4.9209; 0.5098; 0.9170; 0.0000; 49.5448
0.8637; -4.9745; 0.5135; 0.9101; 0.0000; 49.7658
1.1070; -5.0319; 0.4336; 0.9026; 0.0000; 50.0158
