label,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,ADMM_ALPHA,ADMM_RHO,ADMM_RHO_U,ADMM_TOL,MAX_ADMM_ITER,MIN_LIN_VEL,N,Q_HDG,Q_LAT,Q_LAT_VEL,Q_VEL,Q_YAW,R_ACCEL,R_STEER,STABILITY_LIMIT,WALL_END,WALL_MARGIN,WALL_START,WALL_STRIDE,WP_ADVANCE_MAX,W_ACCEL_RATE,W_DELTA_ACT,W_JERK,dt
dt=0.05+N=12+WE=11+WM=0.1,600.0,4,2,0.3271,0.0204,0.5234,0.018,4.66,0.1755,2.8172,38.1,6051.5,1,0.0,1.4,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,11,0.1,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=11+WM=0.15,600.0,4,2,0.3316,0.0204,0.5232,0.018,4.66,0.1755,2.7613,17.1,594.4,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,11,0.15,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=11+WM=0.2,600.0,4,2,0.3399,0.0204,0.527,0.0181,4.71,0.1718,2.7485,18.0,1161.1,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,11,0.2,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=4+WM=0.0,600.0,4,2,0.3686,0.0217,0.5517,0.0195,5.07,0.1717,3.0985,25.5,1024.7,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.0,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=12+WE=11+WM=0.3,600.0,4,2,0.3406,0.0207,0.5245,0.018,4.75,0.1749,2.752,19.2,877.0,1,0.0,1.5,OK,0.93,32.0,20.0,5.0,20,2.0,12,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,11,0.3,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=4+WM=0.01,600.0,4,2,0.3686,0.0217,0.5517,0.0195,5.07,0.1717,3.0985,28.5,3295.1,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.01,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=4+WM=0.04,600.0,4,2,0.3686,0.0217,0.5517,0.0195,5.07,0.1717,3.0985,45.5,3313.9,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.04,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=4+WM=0.03,600.0,4,2,0.3686,0.0217,0.5517,0.0195,5.07,0.1717,3.0985,27.4,2116.1,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.03,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=4+WM=0.02,600.0,4,2,0.3686,0.0217,0.5517,0.0195,5.07,0.1717,3.0985,25.0,335.9,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.02,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=4+WM=0.05,600.0,4,2,0.3686,0.0217,0.5517,0.0195,5.07,0.1717,3.0985,43.0,7405.6,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.05,1,4,10,0.1,0.53,0.3,0.05
dt=0.05+N=15+WE=4+WM=0.08,600.0,4,2,0.3686,0.0217,0.5517,0.0195,5.07,0.1717,3.0985,53.5,7056.3,1,0.0,1.6,OK,0.93,32.0,20.0,5.0,20,2.0,15,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.08,1,4,10,0.1,0.53,0.3,0.05
