# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
6.709551,3.808824,-3.540444,-3.0593560,-0.3621634,0.0000000,0.0000000,0.796744,0.782368
6.789432,3.729129,-3.545891,-3.0868535,-0.3263153,0.0000000,0.0000000,0.781329,0.759675
6.869314,3.649318,-3.549255,-3.1116872,-0.2954619,0.0000000,0.0000000,0.769820,0.742903
6.949196,3.569450,-3.550729,-3.1342382,-0.2691601,0.0000000,0.0000000,0.757983,0.735193
7.029078,3.489568,-3.550481,3.1283386,-0.2468214,0.0000000,0.0000000,0.746903,0.733993
7.108960,3.409707,-3.548656,3.1093877,-0.2276564,0.0000000,0.0000000,0.742436,0.733878
7.188842,3.329892,-3.545375,3.0918691,-0.2109591,0.0000000,0.0000000,0.741228,0.733700
7.268724,3.250144,-3.540749,3.0756110,-0.1960962,0.0000000,0.0000000,0.737076,0.734050
7.348607,3.170478,-3.534872,3.0604889,-0.1825177,0.0000000,0.0000000,0.732837,0.735946
7.428489,3.090906,-3.527833,3.0464163,-0.1698176,0.0000000,0.0000000,0.730985,0.739565
7.508372,3.011437,-3.519716,3.0333355,-0.1576862,0.0000000,0.0000000,0.735011,0.743260
7.588254,2.932076,-3.510597,3.0212085,-0.1459349,0.0000000,0.0000000,0.741180,0.745632
7.668137,2.852828,-3.500554,3.0100094,-0.1344545,0.0000000,0.0000000,0.744022,0.746665
7.748020,2.773691,-3.489659,2.9997183,-0.1232033,0.0000000,0.0000000,0.746551,0.747049
7.827902,2.694666,-3.477987,2.9903162,-0.1121946,0.0000000,0.0000000,0.749355,0.749295
7.907785,2.615749,-3.465606,2.9817821,-0.1014729,0.0000000,0.0000000,0.752249,0.754624
7.987668,2.536934,-3.452585,2.9740904,-0.0911014,0.0000000,0.0000000,0.755555,0.759776
8.067551,2.458217,-3.438991,2.9672103,-0.0811551,0.0000000,0.0000000,0.759171,0.763626
8.147433,2.379589,-3.424887,2.9611053,-0.0716943,0.0000000,0.0000000,0.761242,0.767386
8.227316,2.301043,-3.410331,2.9557343,-0.0627759,0.0000000,0.0000000,0.761806,0.770110
8.307199,2.222572,-3.395382,2.9510531,-0.0544272,0.0000000,0.0000000,0.763151,0.772834
8.387082,2.144166,-3.380090,2.9470158,-0.0466537,0.0000000,0.0000000,0.764864,0.777287
8.466965,2.065818,-3.364506,2.9435770,-0.0394416,0.0000000,0.0000000,0.764977,0.781807
8.546848,1.987520,-3.348675,2.9406938,-0.0327453,0.0000000,0.0000000,0.762284,0.785045
8.626730,1.909263,-3.332639,2.9383268,-0.0265158,0.0000000,0.0000000,0.757811,0.785170
8.706613,1.831041,-3.316436,2.9364415,-0.0206863,0.0000000,0.0000000,0.753158,0.783281
8.786496,1.752845,-3.300104,2.9350083,-0.0151955,0.0000000,0.0000000,0.748469,0.782209
8.866379,1.674670,-3.283676,2.9340023,-0.0099914,0.0000000,0.0000000,0.744288,0.782247
8.946262,1.596507,-3.267186,2.9334021,-0.0050347,0.0000000,0.0000000,0.741537,0.780813
