idx,stamp_sec,stamp_nsec,status,iters,used_fallback,max_iter_streak,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,out_steer_fp,out_accel_fp,pub_steer,pub_speed,pub_accel,ref_vx0_fp,ref_kappa0_fp,ref_left0_fp,ref_right0_fp
54,1779177351,657523164,0,1,0,0,25603,-42344,80884,-588,-43860,-26682,1851568,-26366,1851568,-0.1005783,0.5204431,7.0631714,501444,-101448,207094,262144
55,1779177351,662501432,0,1,0,0,25531,-42569,86521,-636,-45349,-26366,1851568,-26117,1851568,-0.0996284,0.5419465,7.0631714,501592,-101448,207094,262144
56,1779177351,667520726,0,3,0,0,25453,-42804,90913,-677,-46749,-26117,1851568,-25860,1851568,-0.0986481,0.5587007,7.0631714,501741,-101448,207094,262144
57,1779177351,672497714,0,2,0,0,25373,-43042,94770,-705,-47851,-25860,1851568,-25561,1851568,-0.0975075,0.5734140,7.0631714,501889,-101448,207094,262144
58,1779177351,677177096,0,4,0,0,25291,-43277,102247,-730,-50154,-25561,1851568,-25168,1851568,-0.0960083,0.6019365,7.0631714,502038,-101448,207094,262144
59,1779177351,682511661,0,2,0,0,25194,-43567,105511,-809,-54328,-25168,1851568,-24640,1851568,-0.0939941,0.6143876,7.0631714,502186,-101448,207094,262144
60,1779177351,687527914,0,3,0,0,25098,-43853,110614,-816,-56995,-24640,1851568,-24048,1851568,-0.0917358,0.6338540,7.0631714,502334,-101448,207094,262144
61,1779177351,692491143,0,4,0,0,24995,-44142,119278,-851,-58257,-24048,1851568,-23453,1851568,-0.0894661,0.6669046,7.0631714,502483,-101448,207094,262144
62,1779177351,697487172,0,2,0,0,24888,-44441,122720,-869,-59981,-23453,1851568,-22895,1851568,-0.0873375,0.6800348,7.0631714,502636,-101448,207094,262144
63,1779177351,702484161,0,2,0,0,24777,-44757,125450,-873,-63182,-22895,1851568,-22364,1851568,-0.0853119,0.6904489,7.0631714,502779,-101448,207094,262144
64,1779177351,707507134,0,3,0,0,24660,-45095,131859,-891,-67178,-22364,1851568,-21829,1851568,-0.0832710,0.7148973,7.0631714,502933,-101448,207094,262144
65,1779177351,712633119,0,1,0,0,23808,-42733,136072,-902,-70427,-21829,1851568,-21509,1851568,-0.0820503,0.7309686,7.0631714,506122,-99790,207094,262144
66,1779177351,717427766,0,3,0,0,23693,-43078,141294,-889,-72052,-21509,1851568,-21290,1851568,-0.0812149,0.7508889,7.0631714,506271,-99790,207094,262144
67,1779177351,722490773,0,5,0,0,23563,-43446,150849,-951,-72669,-21290,1851568,-21091,1851568,-0.0804558,0.7873384,7.0631714,506420,-99790,207094,262144
68,1779177351,727523187,0,1,0,0,23431,-43814,152866,-982,-73083,-21091,1851568,-20840,1851568,-0.0794983,0.7950326,7.0631714,506576,-99790,207094,262144
69,1779177351,732502288,0,2,0,0,23296,-44177,155715,-1000,-73041,-20840,1851568,-20501,1851568,-0.0782051,0.8059007,7.0631714,506719,-99790,207094,262144
70,1779177351,737488204,0,5,0,0,23151,-44544,166634,-1066,-73604,-20501,1851568,-20119,1851568,-0.0767479,0.8475534,7.0631714,506869,-99790,207094,262144
71,1779177351,742518218,0,2,0,0,23001,-44925,169245,-1104,-75695,-20119,1851568,-19662,1851568,-0.0750046,0.8575135,7.0631714,507018,-99790,207094,262144
72,1779177351,747608490,0,1,0,0,22131,-42651,173933,-1130,-77539,-19662,1851568,-19386,1851568,-0.0739517,0.8753968,7.0631714,510253,-97950,204472,262144
73,1779177351,752461219,0,5,0,0,21983,-43031,181232,-1152,-78314,-19386,1851568,-19167,1851568,-0.0731163,0.9032403,7.0631714,510403,-97950,204472,262144
74,1779177351,757501121,0,2,0,0,21823,-43424,185801,-1194,-77956,-19167,1851568,-18902,1851568,-0.0721054,0.9206697,7.0631714,510553,-97950,204472,262144
75,1779177351,762541311,0,4,0,0,21656,-43811,192626,-1253,-76901,-18902,1851568,-18570,1851568,-0.0708389,0.9467050,7.0631714,510703,-97950,204472,262144
76,1779177351,767526044,0,4,0,0,21482,-44191,200993,-1332,-76200,-18570,1851568,-18177,1851568,-0.0693398,0.9786226,7.0631714,510854,-97950,204472,262144
77,1779177351,772506328,0,3,0,0,21302,-44569,206156,-1402,-75894,-18177,1851568,-17723,1851568,-0.0676079,0.9983178,7.0631714,511004,-97950,204472,262144
78,1779177351,777495605,0,2,0,0,20415,-42312,213099,-1476,-74535,-17723,1851568,-17499,1851568,-0.0667534,1.0248033,7.0631714,514279,-95892,204472,262144
79,1779177351,782488722,0,3,0,0,20230,-42675,220695,-1579,-72812,-17499,1851568,-17344,1851568,-0.0661621,1.0537797,7.0631714,514430,-95892,204472,262144
80,1779177351,787517424,0,4,0,0,20037,-43039,225145,-1691,-72314,-17344,1851568,-17129,1851568,-0.0653419,1.0707551,7.0631714,514581,-95892,204472,262144
81,1779177351,792495756,0,2,0,0,19840,-43401,229893,-1798,-72635,-17129,1851568,-16808,1851568,-0.0641174,1.0888673,7.0631714,514733,-95892,204472,262144
82,1779177351,797630893,0,3,0,0,19630,-43773,236005,-1916,-72544,-16808,1851568,-16374,1851568,-0.0624619,1.1121827,7.0631714,514904,-95892,204472,262144
83,1779177351,802491623,0,1,0,0,18746,-41554,238616,-1989,-72360,-16374,1851568,-16135,1851568,-0.0615501,1.1221429,7.0631714,518198,-94286,204472,270008
84,1779177351,807522116,0,2,0,0,18542,-41913,242473,-2074,-71306,-16135,1851568,-15911,1851568,-0.0606956,1.1368562,7.0631714,518350,-94286,204472,270008
85,1779177351,812488641,0,2,0,0,18335,-42263,247043,-2173,-70462,-15911,1851568,-15617,1851568,-0.0595741,1.1542894,7.0631714,518503,-94286,204472,270008
86,1779177351,817477213,0,1,0,0,17435,-40077,252087,-2361,-69805,-15617,1851568,-15498,1851568,-0.0591202,1.1735307,7.0631714,522161,-92311,201851,270008
