idx,iterations,solve_time_us
835,9,628.0
836,9,544.0
837,9,627.0
838,9,543.0
839,9,561.0
840,9,493.0
841,9,490.0
842,9,498.0
843,9,562.0
844,9,675.0
845,9,594.0
846,10,562.0
847,9,542.0
848,9,630.0
849,9,600.0
850,9,644.0
851,9,518.0
852,10,575.0
853,9,589.0
854,9,507.0
855,10,560.0
856,9,600.0
857,10,603.0
858,9,584.0
859,9,541.0
860,10,604.0
861,9,546.0
862,9,486.0
863,10,515.0
864,9,539.0
865,10,535.0
866,9,496.0
867,10,502.0
868,9,491.0
869,10,508.0
870,9,490.0
871,10,504.0
872,9,504.0
873,10,523.0
874,9,497.0
875,10,524.0
876,9,514.0
877,10,568.0
878,9,555.0
879,10,551.0
880,9,590.0
881,10,602.0
882,9,587.0
883,10,557.0
884,9,598.0
885,10,563.0
886,10,534.0
887,10,570.0
888,10,575.0
889,9,503.0
890,10,510.0
891,10,507.0
892,9,502.0
893,10,515.0
894,10,522.0
895,10,506.0
896,10,509.0
897,10,513.0
898,10,508.0
899,10,521.0
900,10,567.0
901,10,518.0
902,10,576.0
903,10,519.0
904,10,515.0
905,10,518.0
906,10,517.0
907,10,517.0
908,10,502.0
909,10,508.0
910,10,516.0
911,10,626.0
912,10,532.0
913,10,499.0
914,10,509.0
915,10,508.0
916,10,520.0
917,10,521.0
918,10,510.0
919,10,584.0
920,10,511.0
921,10,523.0
922,10,512.0
923,10,511.0
924,10,506.0
925,10,516.0
926,10,568.0
927,10,564.0
928,10,516.0
929,10,518.0
930,10,515.0
931,10,518.0
932,10,528.0
933,10,520.0
934,10,533.0
935,10,520.0
936,10,501.0
937,10,573.0
938,10,508.0
939,10,527.0
940,10,513.0
941,10,511.0
942,10,507.0
943,10,504.0
944,10,526.0
945,10,506.0
946,10,511.0
947,10,512.0
948,10,513.0
949,10,521.0
950,10,520.0
951,10,516.0
952,10,512.0
953,10,523.0
954,10,521.0
955,10,502.0
956,10,506.0
957,10,511.0
958,10,527.0
959,10,526.0
960,10,516.0
961,10,509.0
962,10,568.0
963,10,719.0
964,10,698.0
965,10,642.0
966,10,644.0
967,10,514.0
968,10,518.0
969,10,574.0
970,10,545.0
971,10,518.0
972,10,527.0
973,10,513.0
974,10,564.0
975,10,612.0
976,10,612.0
977,10,605.0
978,10,577.0
979,10,503.0
980,10,565.0
981,10,602.0
982,10,593.0
983,10,560.0
984,10,513.0
985,10,566.0
986,10,602.0
987,10,545.0
988,10,518.0
989,10,513.0
990,10,513.0
991,10,501.0
992,10,506.0
993,10,506.0
994,10,536.0
995,10,518.0
996,10,570.0
997,10,523.0
998,10,566.0
999,10,601.0
1000,10,601.0
1001,10,657.0
1002,10,656.0
1003,10,615.0
1004,10,604.0
1005,10,603.0
1006,10,561.0
1007,10,505.0
1008,10,565.0
1009,10,528.0
1010,10,557.0
1011,10,517.0
1012,10,519.0
1013,10,587.0
1014,10,520.0
1015,10,527.0
1016,10,509.0
1017,10,517.0
1018,10,518.0
1019,10,506.0
1020,10,517.0
1021,10,509.0
1022,10,509.0
1023,10,511.0
1024,10,525.0
1025,10,512.0
1026,10,497.0
1027,10,509.0
1028,10,506.0
1029,10,555.0
1030,10,527.0
1031,10,547.0
1032,10,600.0
1033,10,537.0
1034,10,683.0
1035,10,569.0
1036,10,571.0
1037,10,515.0
1038,10,511.0
1039,10,519.0
1040,10,612.0
1041,10,609.0
1042,10,612.0
1043,10,613.0
1044,10,616.0
1045,10,524.0
1046,10,510.0
1047,10,513.0
1048,10,515.0
1049,10,518.0
1050,10,507.0
1051,10,523.0
1052,10,519.0
1053,10,535.0
1054,10,522.0
1055,10,500.0
1056,10,508.0
1057,10,506.0
1058,10,569.0
1059,10,577.0
1060,10,527.0
1061,10,565.0
1062,10,548.0
1063,10,560.0
1064,10,557.0
1065,10,558.0
1066,10,583.0
1067,10,559.0
1068,10,575.0
1069,10,558.0
1070,10,568.0
1071,10,561.0
1072,10,639.0
1073,10,571.0
1074,10,505.0
1075,10,508.0
1076,10,536.0
1077,10,581.0
1078,10,518.0
1079,10,504.0
1080,10,507.0
1081,10,514.0
1082,10,514.0
1083,10,509.0
1084,10,511.0
1085,10,601.0
1086,10,603.0
1087,10,572.0
1088,10,599.0
1089,10,749.0
1090,10,510.0
1091,10,572.0
1092,10,577.0
1093,10,621.0
1094,10,587.0
1095,10,753.0
1096,10,644.0
1097,10,566.0
1098,10,558.0
1099,10,559.0
1100,10,612.0
1101,10,565.0
1102,10,501.0
1103,10,560.0
1104,10,562.0
1105,10,564.0
1106,10,555.0
1107,10,568.0
1108,10,565.0
1109,10,576.0
1110,10,567.0
1111,10,561.0
1112,10,557.0
1113,10,513.0
1114,10,508.0
1115,10,512.0
1116,10,510.0
1117,10,531.0
1118,10,584.0
1119,10,841.0
1120,10,736.0
1121,10,736.0
1122,10,617.0
1123,10,550.0
1124,10,562.0
1125,10,559.0
1126,10,668.0
1127,10,520.0
1128,10,570.0
1129,10,513.0
1130,10,504.0
1131,10,611.0
1132,10,510.0
1133,10,512.0
1134,10,520.0
1135,10,512.0
1136,10,528.0
1137,10,515.0
1138,10,512.0
1139,10,512.0
1140,10,528.0
1141,10,588.0
1142,10,701.0
1143,10,535.0
1144,10,612.0
1145,10,670.0
1146,10,544.0
1147,10,524.0
1148,10,520.0
1149,10,855.0
1150,10,628.0
1151,10,529.0
1152,10,766.0
1153,10,542.0
1154,10,522.0
1155,10,530.0
1156,10,522.0
1157,10,521.0
1158,10,576.0
1159,10,539.0
1160,10,575.0
1161,10,562.0
1162,10,565.0
1163,10,555.0
1164,10,570.0
1165,10,559.0
1166,10,644.0
1167,10,520.0
1168,10,513.0
1169,10,496.0
1170,10,517.0
1171,10,511.0
1172,10,513.0
1173,10,514.0
1174,10,513.0
1175,10,510.0
1176,10,531.0
1177,10,514.0
1178,10,572.0
1179,10,579.0
1180,10,567.0
1181,10,514.0
1182,10,509.0
1183,10,562.0
1184,10,571.0
1185,10,562.0
1186,10,553.0
1187,10,564.0
1188,10,560.0
1189,10,582.0
1190,10,563.0
1191,10,559.0
1192,10,557.0
1193,10,621.0
1194,10,614.0
1195,10,573.0
1196,11,596.0
1197,10,515.0
1198,10,619.0
1199,11,582.0
1200,10,606.0
1201,10,579.0
1202,10,589.0
1203,11,582.0
1204,10,516.0
1205,11,582.0
1206,10,566.0
1207,11,580.0
1208,10,570.0
1209,11,581.0
1210,10,566.0
1211,11,689.0
1212,10,805.0
1213,11,576.0
1214,10,557.0
1215,11,533.0
1216,10,634.0
1217,11,583.0
1218,10,562.0
1219,11,583.0
1220,10,822.0
1221,11,633.0
1222,10,620.0
1223,11,617.0
1224,10,571.0
1225,11,590.0
1226,10,577.0
1227,11,592.0
1228,11,581.0
1229,10,579.0
1230,11,531.0
1231,10,506.0
1232,11,529.0
1233,11,530.0
1234,11,537.0
1235,11,529.0
1236,10,498.0
1237,11,544.0
1238,11,538.0
1239,11,544.0
1240,11,526.0
1241,11,531.0
1242,11,539.0
1243,11,530.0
1244,11,525.0
1245,11,529.0
1246,11,524.0
1247,11,543.0
1248,11,524.0
1249,11,528.0
1250,11,537.0
1251,11,526.0
1252,11,527.0
1253,11,525.0
1254,11,527.0
1255,11,517.0
1256,11,536.0
1257,11,541.0
1258,11,560.0
1259,11,536.0
1260,11,519.0
1261,11,529.0
1262,11,871.0
1263,11,768.0
1264,11,535.0
1265,11,534.0
1266,11,591.0
1267,11,523.0
1268,11,585.0
1269,11,579.0
1270,11,578.0
1271,11,577.0
1272,11,518.0
1273,11,620.0
1274,11,636.0
1275,11,535.0
1276,11,526.0
1277,11,589.0
1278,11,546.0
1279,11,583.0
1280,11,602.0
1281,11,603.0
1282,11,588.0
1283,11,599.0
1284,11,528.0
1285,11,590.0
1286,11,646.0
1287,11,595.0
1288,11,638.0
1289,11,589.0
1290,11,767.0
1291,11,581.0
1292,11,587.0
1293,11,588.0
1294,11,589.0
1295,11,665.0
1296,11,576.0
1297,11,588.0
1298,11,586.0
1299,11,587.0
1300,11,695.0
1301,11,544.0
1302,11,591.0
1303,11,592.0
1304,11,591.0
1305,11,588.0
1306,11,597.0
1307,11,588.0
1308,11,588.0
1309,11,596.0
1310,11,817.0
1311,11,544.0
1312,11,534.0
1313,11,532.0
1314,11,531.0
1315,11,577.0
1316,11,594.0
1317,11,593.0
1318,11,622.0
1319,11,605.0
1320,11,584.0
1321,11,698.0
1322,11,758.0
1323,11,689.0
1324,11,666.0
1325,11,692.0
1326,11,601.0
1327,11,582.0
1328,11,585.0
1329,11,584.0
1330,11,591.0
1331,11,592.0
1332,11,585.0
1333,11,586.0
1334,11,722.0
1335,11,588.0
1336,11,591.0
1337,11,599.0
1338,11,594.0
1339,11,633.0
1340,11,629.0
1341,11,631.0
1342,11,628.0
1343,11,629.0
1344,11,627.0
1345,11,576.0
1346,11,530.0
1347,11,527.0
1348,11,523.0
1349,11,539.0
1350,11,529.0
1351,11,547.0
1352,11,577.0
1353,11,587.0
1354,11,575.0
1355,11,576.0
1356,11,581.0
1357,11,596.0
1358,11,639.0
1359,11,639.0
1360,11,717.0
1361,11,619.0
1362,11,683.0
1363,11,627.0
1364,11,627.0
1365,11,627.0
1366,11,578.0
1367,11,578.0
1368,11,571.0
1369,11,576.0
1370,11,537.0
1371,11,545.0
1372,11,537.0
1373,11,526.0
1374,11,530.0
1375,11,534.0
1376,11,558.0
1377,11,532.0
1378,11,523.0
1379,11,529.0
1380,11,527.0
1381,11,547.0
1382,11,582.0
1383,11,581.0
1384,11,597.0
1385,11,550.0
1386,11,586.0
1387,11,575.0
1388,11,583.0
1389,11,602.0
1390,11,569.0
1391,11,588.0
1392,11,574.0
1393,11,572.0
1394,11,573.0
1395,11,537.0
1396,11,524.0
1397,11,516.0
1398,11,527.0
1399,11,526.0
1400,11,586.0
1401,11,585.0
1402,11,573.0
1403,11,781.0
1404,11,827.0
1405,11,1010.0
1406,11,749.0
1407,11,544.0
1408,11,548.0
1409,11,523.0
1410,11,557.0
1411,11,547.0
1412,11,535.0
1413,11,555.0
1414,11,608.0
1415,11,655.0
1416,11,648.0
1417,11,637.0
1418,11,647.0
1419,11,604.0
1420,11,599.0
1421,11,519.0
1422,11,524.0
