idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
23827,1778515613022475300,1,1,50,0,-30500,-1851569,-21306,409,416006,41097,-64222,-8095,-1851569,442882,-7061,882379,765889,774169
23828,1778515613027538112,1,1,50,0,13276,-1851569,-21181,455,415946,41647,-65363,-9128,-1851569,442361,-7017,882619,765009,772289
23829,1778515613032494715,1,1,50,0,13892,-1851569,-21058,501,415887,42248,-65752,-8512,-1851569,441790,-6911,881549,764999,772609
23830,1778515613037515607,1,1,50,0,12922,1851568,-20879,350,415664,42792,-66710,-9482,-1851569,441487,-6846,882039,764449,774739
23831,1778515613042472754,1,1,50,0,13706,1851568,-20455,31,415486,43396,-66901,-8698,1851568,440851,-6814,886259,766269,777419
23832,1778515613047457581,1,1,50,0,12992,1851568,-20240,-308,415472,43950,-67982,-9412,1851568,440851,-6814,886119,766329,778009
23833,1778515613052499017,1,1,50,0,14038,1851568,-20099,-293,415501,44602,-68799,-8366,1851568,440180,-6662,885328,765629,777819
23834,1778515613057922986,1,1,50,0,13254,1851568,-19939,-321,415264,45259,-70820,-9150,1851568,439487,-6679,885529,766879,775799
23835,1778515613062414655,1,1,50,0,14119,1851568,-19819,-285,415012,45897,-71155,-8285,1851568,438794,-6687,885259,766899,777399
23836,1778515613067469947,1,1,50,0,13284,1851568,-19715,-117,414878,46556,-72560,-9120,1851568,437756,-6624,882609,766259,773869
23837,1778515613072476151,1,1,50,0,13974,1851568,-19309,-266,414715,47282,-73151,-8430,1851568,437411,-6715,884568,765949,774189
23838,1778515613077485395,1,1,50,0,13336,1851568,-19161,-281,414403,47968,-74228,-9068,1851568,436724,-6733,881519,765839,773959
23839,1778515613082511534,1,1,50,0,-30722,1851568,-19013,-297,413958,48721,-74729,-8317,1851568,436043,-6604,883469,766979,775239
23840,1778515613087948207,1,1,50,0,-31132,1851568,-18799,-536,413306,49500,-75842,-8727,1851568,435705,-6736,883449,765979,773189
23841,1778515613092495461,1,1,50,0,14539,1851568,-18675,-562,412638,50214,-75332,-7865,1851568,435035,-6709,884359,765159,776069
23842,1778515613097560898,1,1,50,0,14539,1851568,-18515,-588,411733,50944,-75690,-8251,1851568,434374,-6718,883109,766039,772589
23843,1778515613102477180,1,1,50,0,14856,1851568,-18321,-781,410383,51681,-75658,-7548,1851568,434047,-6744,883779,766759,774329
23844,1778515613107546905,1,1,50,0,-30198,1851568,-18159,-809,409018,52395,-76266,-7793,1851568,433402,-6723,881778,765699,772909
23845,1778515613112513428,1,1,50,0,-29873,1851568,-18002,-829,406763,53100,-76753,-7468,1851568,432465,-6708,881509,765299,773629
23846,1778515613117549200,1,1,50,0,14423,1851568,-17842,-861,404612,53762,-77683,-7981,1851568,430910,-6806,882109,765869,773489
23847,1778515613122541675,1,1,50,0,14183,1851568,-17800,-722,402565,54399,-78550,-8221,1851568,429367,-7026,883039,766139,774839
23848,1778515613127490342,1,1,50,0,13108,1851568,-17646,-744,401393,54964,-79900,-9296,1851568,427856,-7154,882479,766129,773919
23849,1778515613132503298,1,1,50,0,12488,1851568,-17443,-959,401407,55526,-81345,-9916,1851568,427127,-7166,883729,765649,775159
23850,1778515613137544926,1,1,50,0,11557,1851568,-17289,-993,402031,56069,-83061,-10847,1851568,425748,-7443,882689,765949,772699
23851,1778515613142971070,1,1,50,0,7417,1851568,-17097,-1256,403351,56674,-85031,-11393,1851568,425101,-7534,884019,766959,775679
23852,1778515613147869241,1,1,50,0,-34211,1851568,-16950,-1276,405116,57258,-86053,-11806,1851568,423898,-7849,882829,766049,774309
23853,1778515613152478351,1,1,50,0,-32966,1851568,-16771,-1467,407208,57825,-86809,-12111,1851568,423351,-7852,882859,765899,773989
23854,1778515613157470923,1,1,50,0,10453,1851568,-16624,-1487,409864,58487,-88021,-11951,1851568,422357,-8057,881339,765609,773599
