idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
5631,1778515522031320773,1,230115,4294962840,8,-1776,-4515,-1776,-4515,230115,30363,-11794,12424,-4456,243829,-3173,178970,62620,68720
5632,1778515522036315847,1,231391,4294962781,8,-1729,-4459,-1729,-4459,231391,30307,-7836,14265,-4515,245153,-2188,182410,63960,72130
5633,1778515522041379912,1,232504,4294962837,8,-1956,-4810,-1956,-4810,232504,30105,-4943,13072,-4459,246509,-1530,176920,62660,68290
5634,1778515522046289480,1,233824,4294962486,8,-1893,-4813,-1893,-4813,233824,30013,-689,15224,-4810,246509,-1530,179750,63920,72130
5635,1778515522051379147,1,234937,4294962483,8,-1841,-4750,-1841,-4750,234937,29749,2759,13785,-4813,247902,-708,178770,62190,70340
5636,1778515522056310795,1,235708,4294962546,8,-1785,-4688,-1785,-4688,235708,29578,7557,15830,-4750,249333,46,182200,63080,72490
5637,1778515522061305196,1,236569,4294962608,8,-1725,-4626,-1725,-4626,236569,29235,11295,14471,-4688,250803,822,178310,62510,69980
5638,1778515522066302285,1,237474,4294962670,8,-1660,-4558,-1660,-4558,237474,28966,16389,16377,-4626,252312,1528,178370,62230,70000
5639,1778515522071279470,1,238483,4294962738,8,-1764,-4693,-1764,-4693,238483,28528,20230,15047,-4558,253860,2177,177660,62610,68440
5640,1778515522076309903,1,239729,4294962603,8,-1695,-4612,-1695,-4612,239729,28162,25902,16966,-4693,255442,2992,183520,64360,72060
5641,1778515522081287152,1,240901,4294962684,8,-1620,-4534,-1620,-4534,240901,27622,30825,15635,-4612,257056,3542,178121,62810,69360
5642,1778515522086271985,1,242132,4294962762,8,-1543,-4436,-1543,-4436,242132,27125,37454,17357,-4534,258698,4298,180510,63780,70940
5643,1778515522091626934,1,243334,4294962860,8,-1773,-4162,-1773,-4162,243334,26381,43411,16001,-4436,260365,5028,178460,63150,69260
5644,1778515522096356212,1,244224,4294963134,8,-1722,-3929,-1722,-3929,244224,25743,49401,17585,-4162,260365,5028,182020,63200,74130
5645,1778515522101332853,1,245366,4294963367,8,-1669,-3657,-1669,-3657,245366,24875,54500,15978,-3929,260365,5028,176270,62150,67420
5646,1778515522106321174,1,246613,4294963639,8,-1585,-3486,-1585,-3486,246613,24022,60395,17233,-3657,262049,5566,182300,64060,73240
5647,1778515522111393880,1,248126,4294963810,8,-1499,-3301,-1499,-3301,248126,22973,64771,15800,-3486,263743,6241,178880,63120,70570
5648,1778515522116337528,1,250114,4294963995,8,-1412,-3117,-1412,-3117,250114,21989,69400,17113,-3301,265447,6992,180220,63830,71370
5649,1778515522121633117,1,252191,4294964179,8,-1709,-3176,-1709,-3176,252191,20771,72496,15672,-3117,267155,7614,179210,62790,68580
5650,1778515522126349978,1,253763,4294964120,8,-1621,-3019,-1621,-3019,253763,19767,75005,17259,-3176,268869,8240,179380,62920,71090
5651,1778515522131541438,1,255440,4294964277,8,-1527,-2841,-1527,-2841,255440,18550,76171,15907,-3019,270584,8867,179480,63380,68850
5652,1778515522136328220,1,256864,4294964455,8,-1435,-2699,-1435,-2699,256864,17535,77337,17352,-2841,272293,9760,183220,64090,73290
5653,1778515522141622913,1,258422,4294964597,8,-1847,-2442,-1847,-2442,258422,16330,77991,16053,-2699,273994,10309,177090,62850,66660
5654,1778515522146338751,1,259965,4294964854,8,-1750,-2337,-1750,-2337,259965,15371,79186,17505,-2442,275683,11006,188150,63100,79770
5655,1778515522151312831,1,261819,4294964959,8,-1650,-2226,-1650,-2226,261819,14277,80232,16207,-2337,277357,11779,180060,64200,70680
