idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
13364,1778515560696879251,1,1,50,0,24566,1851568,-11486,-12401,340923,39550,2127,2162,1851568,382121,-6602,885383,768079,776569
13365,1778515560701887570,1,1,50,0,25699,1851568,-11658,-12207,342124,38634,3769,3295,1851568,383280,-6612,884574,766639,775140
13366,1778515560706875472,1,1,50,0,24336,1851568,-11829,-12009,343222,37616,4076,1932,1851568,384431,-6573,884843,765998,775779
13367,1778515560711761933,1,1,50,0,-19356,1851568,-12037,-11632,344112,36711,4948,3049,1851568,386708,-6636,888863,770479,779699
13368,1778515560716742955,1,1,50,0,-20850,1851568,-12205,-11435,344899,35694,4235,1555,1851568,387834,-6705,891293,771049,777679
13369,1778515560722145774,1,1,50,0,25079,1851568,-12669,-11262,345611,34723,3993,2675,1851568,390061,-6689,889203,770229,779349
13370,1778515560726741095,1,1,50,0,23846,1851568,-12830,-11073,346174,33853,2511,1442,1851568,391162,-6714,889364,769669,781670
13371,1778515560731800070,1,1,50,0,-19845,-1851569,-13046,-10705,346842,33036,2092,2560,1851568,393338,-6761,888273,769699,779469
13372,1778515560736833509,1,1,50,0,-21223,1851568,-13214,-10520,347495,32166,984,1182,-1851569,394412,-6707,888873,770429,779389
13373,1778515560742131591,1,1,50,0,24732,-1851569,-13755,-10354,348266,31389,1305,2328,1851568,395478,-6621,883794,765779,774110
13374,1778515560746768289,1,1,50,0,23587,1851568,-13908,-10176,348756,30651,845,1183,-1851569,396534,-6727,882373,764989,774539
13375,1778515560751813984,1,1,50,0,-20155,-1851569,-14112,-9812,349260,29953,1175,2250,1851568,398618,-6650,881683,765909,772529
13376,1778515560756812158,1,1,50,0,-21453,1851568,-14269,-9635,350032,29186,220,952,-1851569,399647,-6722,885023,766029,774609
13377,1778515560761884637,1,1,50,0,24388,-1851569,-14426,-9453,351055,28527,156,1984,1851568,400667,-6651,884044,766539,773140
13378,1778515560766875067,1,1,50,0,-21623,1851568,-14621,-9101,352020,27820,-586,782,-1851569,402680,-6591,885063,766418,775109
13379,1778515560772067100,1,1,50,0,-20724,-1851569,-15029,-9072,352910,27189,-221,1681,1851568,404657,-6549,882503,766419,773499
13380,1778515560776827255,1,1,50,0,23078,1851568,-15179,-8901,353652,26555,-430,674,-1851569,405632,-6640,950346,780570,841512
13381,1778515560781788885,1,1,50,0,24008,-1851569,-15333,-8722,354557,25979,194,1604,1851568,406599,-6591,891544,768309,776549
13382,1778515560786970230,1,1,50,0,22958,1851568,-15533,-8370,355714,25305,119,554,-1851569,408503,-6563,882503,765458,772929
13383,1778515560791660368,1,1,50,0,23710,-1851569,-16030,-8062,356960,24763,872,1306,1851568,409441,-6552,882893,766539,773579
13384,1778515560796822384,1,1,50,0,22622,-1851569,-16173,-7885,358191,24087,824,218,-1851569,410370,-6596,931825,766729,823171
13385,1778515560801852207,1,1,50,0,23431,1851568,-16311,-7701,359304,23503,1276,1027,-1851569,411288,-6527,888453,767729,773719
13386,1778515560806857197,1,1,50,0,22379,-1851569,-16486,-7350,360372,22856,578,-25,1851568,413095,-6539,885104,766529,773769
13387,1778515560811869196,1,1,50,0,23021,1851568,-16617,-7175,361589,22290,203,617,-1851569,413983,-6565,884703,767869,775129
13388,1778515560816820265,1,1,50,0,22015,-1851569,-16785,-6831,362939,21691,-962,-389,1851568,415728,-6562,933865,767949,824240
13389,1778515560821991210,1,1,50,0,22584,-1851569,-17125,-6517,364170,21156,-1591,180,-1851569,417431,-6629,889123,768409,775309
13390,1778515560826866086,1,1,50,0,21580,1851568,-17250,-6353,365119,20619,-2986,-824,-1851569,418267,-6497,883443,766049,773869
13391,1778515560831799588,1,1,50,0,22299,-1851569,-17369,-6200,365906,20177,-3962,-105,1851568,419091,-6639,884234,767689,774319
13392,1778515560836783746,1,1,50,0,21383,-1851569,-17536,-5877,366692,19709,-6080,-1021,-1851569,420708,-6677,931375,766449,822741
13393,1778515560841972163,1,1,50,0,22020,1851568,-17974,-5650,367775,19343,-7725,-384,-1851569,421500,-6604,887504,768339,773489
13394,1778515560846849023,1,1,50,0,21224,-1851569,-18037,-5698,368977,19005,-9797,-1180,1851568,421500,-6604,885463,766528,775069
13395,1778515560851803133,1,1,50,0,-22676,-1851569,-18189,-5401,370030,18790,-10926,-271,-1851569,423048,-6838,883153,766399,772459
13396,1778515560856769723,1,1,50,0,21154,1851568,-18294,-5279,370891,18549,-12759,-1250,-1851569,423799,-6703,934135,768368,824661
13397,1778515560861795673,1,1,50,0,-22724,-1851569,-18439,-4989,371944,18429,-13835,-319,1851568,425247,-6904,891213,768239,776189
13398,1778515560866873017,1,1,50,0,21965,1851568,-18537,-4884,373338,18271,-15834,-439,-1851569,425947,-6880,882573,765459,772069
13399,1778515560872108282,1,1,50,0,-22844,-1851569,-18819,-4784,375000,18245,-16871,-439,1851568,426630,-7045,884893,766369,775539
13400,1778515560876733108,1,1,50,0,20975,1851568,-18962,-4497,376365,18193,-18581,-1429,-1851569,427948,-7123,1015669,846072,903404
13401,1778515560881764434,1,1,50,0,-22990,-1851569,-19053,-4405,377567,18248,-19630,-585,1851568,428585,-7091,891543,770639,777459
13402,1778515560886812177,1,1,50,0,-23941,1851568,-19191,-4134,378828,18272,-21542,-1536,-1851569,429814,-7039,885643,766659,776079
13403,1778515560891798735,1,1,50,0,21654,-1851569,-19571,-3995,380192,18407,-22896,-750,1851568,430406,-7120,884413,766759,773789
13404,1778515560896720044,1,1,50,0,20767,1851568,-19596,-4117,381780,18522,-24899,-1637,-1851569,430406,-7120,934105,767008,823581
13405,1778515560901759243,1,1,50,0,21842,-1851569,-19715,-3871,383486,18775,-25847,-562,1851568,431551,-7034,890124,768139,775709
13406,1778515560906729929,1,1,50,0,20915,-514400,-19781,-3820,384717,18988,-27359,-1489,-1851569,432104,-7034,881063,764478,771329
13407,1778515560911885001,1,1,50,0,21934,-1851569,-19888,-3589,385711,19324,-28039,-470,-514400,433172,-6947,882293,765379,772259
